freq,mag,phase
6.0,0.9999976420256509,-125.94707215766606
6.008,0.9999980798628098,-126.31545813794871
6.016,0.9999985132161406,-126.68350234307019
6.024,0.9999989419955637,-127.05120648309097
6.032,0.9999993661141903,-127.4185722789729
6.04,0.9999997854882798,-127.7856014624293
6.048,1.0,-128.1522957757758
6.056,0.9999999999999999,-128.5186569717834
6.064,0.9999999999999999,-128.8846868135319
6.072,1.0000000000000002,-129.2503870742655
6.08,1.0,-129.61575953724895
6.088,0.9999999999999999,-129.98080599562556
6.096,0.9999999999999999,-130.34552825227644
6.104,0.9999999999999999,-130.70992811968094
6.112,1.0,-131.0740074197783
6.12,0.9999999999999999,-131.43776798383098
6.128,0.9999999999999999,-131.80121165228894
6.136,0.9999999999999999,-132.16434027465553
6.144,0.9999999999999999,-132.52715570935436
6.152,1.0,-132.88965982359792
6.16,1.0,-133.251854493257
6.168,1.0,-133.61374160273195
6.176,1.0,-133.97532304482465
6.184,1.0,-134.33660072061235
6.192,1.0,-134.69757653932237
6.2,0.9999999999999998,-135.05825241820858
6.208,0.9999999999999999,-135.41863028242818
6.216,1.0,-135.77871206492134
6.224,0.9999999999999999,-136.13849970629045
6.232,0.9999999999999999,-136.49799515468166
6.24,1.0,-136.8572003656678
6.248,1.0,-137.21611730213164
6.256,1.0,-137.57474793415113
6.264,1.0,-137.93309423888596
6.272,1.0,-138.2911582004649
6.28,1.0,-138.6489418098747
6.288,1.0,-139.0064470648502
6.296,1.0,-139.36367596976547
6.304,1.0,-139.7206305355264
6.312,1.0,-140.0773127794645
6.32,1.0,-140.4337247252317
6.328,0.9999999999999999,-140.7898684026966
6.336,1.0,-141.1457458478418
6.344,0.9999999999999999,-141.50135910266226
6.352,1.0,-141.8567102150653
6.36,1.0,-142.21180123877133
6.368,0.9999999999999999,-142.5666342332157
6.376,1.0,-142.92121126345248
6.384,1.0,-143.27553440005835
6.392,1.0,-143.62960571903824
6.4,1.0,-143.9834273017321
6.408,0.9999999999999999,-144.33700123472255
6.416,0.9999999999999999,-144.69032960974405
6.424,0.9999999999999999,-145.04341452359253
6.432,1.0,-145.396258078037
6.44,1.0,-145.74886237973138
6.448,1.0,-146.10122954012823
6.456,0.9999999999999999,-146.45336167539267
6.464,1.0,-146.80526090631844
6.472,1.0,-147.15692935824404
6.48,1.0,-147.50836916097043
6.4879999999999995,0.9999999999999999,-147.85958244867982
6.496,1.0,-148.21057135985544
6.504,1.0,-148.56133803720184
6.5120000000000005,1.0,-148.9118846275672
6.52,1.0,-149.26221328186563
6.5280000000000005,1.0,-149.61232615500145
6.536,1.0,-149.9622254057934
6.5440000000000005,0.9999999999999999,-150.3119131969009
6.552,1.0,-150.66139169475036
6.5600000000000005,1.0,-151.01066306946328
6.568,1.0,-151.3597294947846
6.5760000000000005,1.0,-151.70859314801248
6.584,1.0,-152.05725620992882
6.592,1.0,-152.4057208647308
6.6,0.9999999999999999,-152.7539892999631
6.608,1.0,-153.10206370645145
6.616,1.0,-153.44994627823678
6.624,1.0,-153.79763921251018
6.632,1.0,-154.14514470954916
6.64,1.0,-154.49246497265437
6.648,1.0,-154.83960220808734
6.656,0.9999999999999999,-155.18655862500918
6.664,1.0,-155.5333364354199
6.672,1.0,-155.87993785409878
6.68,1.0,-156.2263650985454
6.688,1.0,-156.57262038892165
6.696,0.9999999999999999,-156.91870594799437
6.704,1.0,-157.26462400107903
6.712,0.9999999999999999,-157.61037677598387
6.72,1.0,-157.95596650295505
6.728,1.0,-158.30139541462256
6.736,1.0,-158.64666574594696
6.744,1.0,-158.99177973416633
6.752,1.0,-159.33673961874499
6.76,1.0,-159.68154764132174
6.768,1.0,-160.02620604565993
6.776,0.9999999999999999,-160.3707170775974
6.784,1.0,-160.71508298499757
6.792,0.9999999999999999,-161.05930601770118
6.8,1.0,-161.40338842747846
6.808,0.9999999999999998,-161.74733246798232
6.816,1.0,-162.0911403947019
6.824,1.0,-162.4348144649171
6.832,0.9999999999999999,-162.77835693765334
6.84,1.0,-163.12177007363718
6.848,0.9999999999999999,-163.46505613525272
6.856,1.0,-163.80821738649837
6.864,1.0,-164.15125609294418
6.872,1.0,-164.4941745216901
6.88,1.0,-164.83697494132437
6.888,1.0,-165.17965962188293
6.896,1.0,-165.5222308348091
6.904,1.0,-165.86469085291395
6.912,1.0,-166.2070419503369
6.92,1.0,-166.54928640250768
6.928,1.0,-166.89142648610763
6.936,1.0,-167.23346447903268
6.944,0.9999999999999999,-167.5754026603559
6.952,1.0,-167.91724331029124
6.96,0.9999999999999999,-168.25898871015733
6.968,1.0,-168.60064114234194
6.976,0.9999999999999999,-168.94220289026688
6.984,1.0,-169.28367623835325
6.992,0.9999999999999999,-169.62506347198743
7.0,0.9999999999999999,-169.96636687748713
7.008,0.9999999999999999,-170.30758874206825
7.016,1.0,-170.6487313538117
7.024,0.9999999999999999,-170.98979700163127
7.032,1.0,-171.33078797524124
7.04,1.0,-171.67170656512474
7.048,0.9999999999999998,-172.0125550625026
7.056,1.0000000000000002,-172.3533357593022
7.064,1.0,-172.69405094812709
7.072,0.9999999999999999,-173.03470292222656
7.08,1.0,-173.37529397546595
7.088,1.0,-173.71582640229707
7.096,1.0,-174.05630249772886
7.104,1.0,-174.39672455729877
7.112,1.0000000000000002,-174.73709487704397
7.12,1.0,-175.07741575347302
7.128,1.0,-175.41768948353823
7.136,1.0,-175.7579183646075
7.144,1.0,-176.09810469443718
7.152,0.9999999999999998,-176.43825077114496
7.16,1.0,-176.77835889318266
7.168,1.0,-177.11843135930982
7.176,1.0,-177.4584704685671
7.184,1.0,-177.79847852025023
7.192,1.0000000000000002,-178.13845781388392
7.2,1.0,-178.47841064919606
7.208,0.9999999999999999,-178.81833932609223
7.216,1.0,-179.15824614463025
7.224,1.0,-179.49813340499497
7.232,1.0000000000000002,-179.83800340747322
7.24,1.0,179.82214154757105
7.248,1.0,179.48229915972135
7.256,1.0,179.14246712853355
7.264,1.0,178.80264315356004
7.272,1.0,178.46282493437405
7.28,0.9999999999999999,178.12301017059403
7.288,1.0,177.78319656190754
7.296,1.0,177.44338180809544
