freq,mag,phase
6.0,0.999994854862397,-89.57081679879042
6.008,0.9999999999999999,-89.98467071782608
6.016,0.9999999999999998,-90.39839086216521
6.024,1.0,-90.81197599683559
6.032,1.0,-91.2254249012518
6.04,1.0,-91.63873636922006
6.048,1.0,-92.05190920894157
6.056,1.0,-92.46494224301466
6.064,1.0,-92.8778343084359
6.072,1.0,-93.29058425659983
6.08,1.0,-93.70319095329776
6.088,1.0,-94.11565327871514
6.096,1.0,-94.52797012742802
6.104,1.0000000000000002,-94.94014040839807
6.112,1.0,-95.35216304496689
6.12,1.0,-95.76403697484872
6.128,0.9999999999999999,-96.17576115012245
6.136,1.0,-96.58733453722223
6.144,0.9999999999999999,-96.99875611692718
6.152,1.0,-97.41002488434987
6.16,1.0,-97.82113984892388
6.168,1.0,-98.23210003439019
6.176,0.9999999999999999,-98.64290447878254
6.184,1.0,-99.0535522344118
6.192,1.0,-99.46404236784925
6.2,0.9999999999999999,-99.87437395990888
6.208,1.0,-100.28454610562872
6.216,1.0,-100.69455791425109
6.224,1.0,-101.10440850920187
6.232,1.0,-101.51409702806899
6.24,1.0,-101.92362262257969
6.248,1.0,-102.33298445857692
6.256,0.9999999999999999,-102.742181715995
6.264,0.9999999999999999,-103.15121358883405
6.272,0.9999999999999999,-103.56007928513372
6.28,0.9999999999999998,-103.96877802694594
6.288,0.9999999999999999,-104.37730905030669
6.296,1.0,-104.78567160520716
6.304,1.0,-105.19386495556377
6.312,1.0,-105.60188837918743
6.32,1.0,-106.00974116775194
6.328,1.0,-106.41742262676172
6.336,0.9999999999999999,-106.8249320755184
6.344,0.9999999999999999,-107.23226884708687
6.352,1.0,-107.63943228826048
6.36,0.9999999999999999,-108.04642175952532
6.368,0.9999999999999999,-108.45323663502391
6.376,1.0,-108.85987630251805
6.384,0.9999999999999999,-109.26634016335078
6.392,1.0,-109.67262763240795
6.4,0.9999999999999999,-110.07873813807869
6.408,0.9999999999999999,-110.48467112221537
6.416,1.0,-110.8904260400928
6.424,1.0,-111.29600236036684
6.432,0.9999999999999999,-111.70139956503212
6.44,1.0,-112.10661714937923
6.448,1.0,-112.5116546219514
6.456,1.0,-112.91651150450014
6.464,1.0,-113.32118733194066
6.472,0.9999999999999999,-113.72568165230642
6.48,0.9999999999999999,-114.12999402670312
6.4879999999999995,1.0,-114.53412402926209
6.496,1.0,-114.93807124709343
6.504,1.0,-115.34183528023759
6.5120000000000005,0.9999999999999999,-115.74541574161786
6.52,1.0,-116.1488122569908
6.5280000000000005,0.9999999999999999,-116.55202446489737
6.536,1.0,-116.95505201661257
6.5440000000000005,1.0,-117.35789457609542
