freq,mag,phase
6.0,0.9999941660197467,-98.31418900944207
6.008,1.0,-98.69266787967713
6.016,1.0,-99.07092920522649
6.024,1.0,-99.44897283892384
6.032,1.0,-99.82679864708003
6.04,0.9999999999999999,-100.20440650941129
6.048,1.0,-100.5817963189667
6.056,0.9999999999999999,-100.95896798205574
6.064,1.0000000000000002,-101.33592141817508
6.072,1.0,-101.71265655993531
6.08,0.9999999999999998,-102.08917335298727
6.088,1.0000000000000002,-102.46547175594802
6.096,0.9999999999999998,-102.8415517403266
6.104,1.0,-103.21741329044937
6.112,1.0,-103.59305640338535
6.12,0.9999999999999999,-103.96848108887094
6.128,1.0,-104.34368736923474
6.136,1.0,-104.71867527932189
6.144,0.9999999999999999,-105.09344486641825
6.152,0.9999999999999999,-105.46799619017459
6.16,1.0,-105.84232932253016
6.168,1.0,-106.21644434763651
6.176,0.9999999999999999,-106.59034136178083
6.184,1.0,-106.96402047330928
6.192,0.9999999999999999,-107.33748180255013
6.2,0.9999999999999999,-107.71072548173676
6.208,1.0,-108.08375165493052
6.216,1.0,-108.45656047794355
6.224,1.0,-108.82915211826135
6.232,1.0,-109.20152675496537
6.24,0.9999999999999999,-109.5736845786555
6.248,0.9999999999999999,-109.94562579137248
6.256,0.9999999999999999,-110.3173506065202
6.264,1.0,-110.68885924878789
6.272,1.0,-111.06015195407262
6.28,0.9999999999999999,-111.43122896940122
6.288,1.0,-111.80209055285263
6.296,1.0,-112.17273697347991
6.304,0.9999999999999998,-112.54316851123264
6.312,1.0,-112.91338545687873
6.32,1.0,-113.28338811192694
6.328,1.0,-113.65317678854883
6.336,1.0000000000000002,-114.02275180950109
6.344,0.9999999999999999,-114.39211350804776
6.352,0.9999999999999999,-114.76126222788254
6.36,1.0,-115.13019832305119
6.368,0.9999999999999999,-115.4989221578739
6.376,0.9999999999999998,-115.86743410686783
6.384,1.0,-116.23573455466962
6.392,1.0,-116.60382389595823
6.4,0.9999999999999999,-116.97170253537742
6.408,0.9999999999999999,-117.33937088745886
6.416,1.0000000000000002,-117.70682937654502
6.424,0.9999999999999999,-118.0740784367122
6.432,1.0,-118.44111851169384
6.44,1.0,-118.80795005480385
6.448,0.9999999999999999,-119.17457352885997
6.456,1.0,-119.54098940610766
6.464,1.0,-119.9071981681436
6.472,1.0,-120.27320030583984
6.48,0.9999999999999999,-120.63899631926778
6.4879999999999995,1.0,-121.00458671762247
6.496,1.0,-121.3699720191473
6.504,0.9999999999999999,-121.73515275105804
6.5120000000000005,1.0,-122.10012944946853
6.52,1.0,-122.46490265931477
6.5280000000000005,1.0000000000000002,-122.82947293428101
6.536,0.9999999999999999,-123.19384083672443
6.5440000000000005,0.9999999999999998,-123.55800693760139
6.552,1.0,-123.9219718163928
6.5600000000000005,1.0,-124.2857360610306
6.568,0.9999999999999999,-124.64930026782366
6.5760000000000005,0.9999999999999999,-125.01266504138484
6.584,0.9999999999999999,-125.37583099455702
6.592,0.9999999999999999,-125.73879874834098
6.6,0.9999999999999999,-126.10156893182193
6.608,1.0,-126.4641421820974
6.616,1.0,-126.82651914420488
6.624,1.0,-127.18870047104984
6.632,1.0,-127.5506868233341
6.64,1.0,-127.91247886948419
6.648,1.0,-128.27407728558032
6.656,0.9999999999999999,-128.63548275528547
6.664,0.9999999999999999,-128.9966959697746
6.672,1.0,-129.3577176276645
6.68,1.0,-129.7185484349435
6.688,1.0,-130.0791891049019
6.696,1.0,-130.43964035806235
6.704,1.0,-130.79990292211062
6.712,1.0000000000000002,-131.1599775318268
6.72,0.9999999999999999,-131.51986492901662
6.728,1.0,-131.87956586244317
6.736,0.9999999999999999,-132.2390810877589
6.744,1.0,-132.5984113674379
6.752,1.0,-132.95755747070854
6.76,1.0,-133.31652017348642
6.768,0.9999999999999999,-133.67530025830752
6.776,0.9999999999999999,-134.0338985142619
6.784,0.9999999999999999,-134.3923157369275
6.792,1.0,-134.75055272830423
6.8,0.9999999999999999,-135.1086102967487
6.808,1.0000000000000002,-135.46648925690891
6.816,0.9999999999999999,-135.82419042965947
6.824,1.0,-136.18171464203712
6.832,0.9999999999999999,-136.53906272717643
6.84,1.0,-136.89623552424618
6.848,1.0,-137.2532338783856
6.856,0.9999996587164509,-137.61005864064134
6.864,0.9999980690293506,-137.9667106679046
6.872,0.9999964988793598,-138.3231908228486
6.88,0.9999949488098309,-138.67949997386634
6.888,0.9999934193418526,-139.03563899500898
6.896,0.9999919109745864,-139.39160876592402
6.904,0.9999904241856019,-139.7474101717944
6.912,0.9999889594312097,-140.1030441032776
6.92,0.9999875171467921,-140.45851145644502
6.928,0.9999860977471344,-140.81381313272212
6.936,0.9999847016267511,-141.16895003882837
6.944,0.9999833291602112,-141.52392308671787
6.952,0.9999819807024634,-141.87873319352036
6.96,0.9999806565891569,-142.23338128148217
6.968,0.9999793571369623,-142.58786827790811
6.976,0.9999780826438879,-142.94219511510317
6.984,0.9999768333895963,-143.2963627303148
6.992,0.9999756096357193,-143.65037206567558
7.0,0.9999744116261675,-144.00422406814613
7.008,0.999973239587442,-144.35791968945833
7.016,0.9999720937289409,-144.71145988605906
7.024,0.9999709742432648,-145.06484561905413
7.032,0.9999698813065203,-145.41807785415247
7.04,0.9999688150786215,-145.77115756161106
7.048,0.9999677757035893,-146.1240857161795
7.056,0.9999667633098467,-146.47686329704587
7.064,0.9999657780105163,-146.82949128778185
7.072,0.9999648199037103,-147.18197067628932
7.08,0.9999638890728212,-147.53430245474613
7.088,0.9999629855868117,-147.88648761955324
7.096,0.9999621095004988,-148.23852717128148
7.104,0.9999612608548375,-148.5904221146191
7.112,0.9999604396772037,-148.94217345831933
7.12,0.9999596459816714,-149.29378221514847
7.128,0.9999588797692908,-149.64524940183432
7.136,0.9999581410283629,-149.99657603901485
7.144,0.9999574297347107,-150.34776315118714
7.152,0.9999567458519507,-150.69881176665686
7.16,0.9999560893317594,-151.04972291748794
7.168,0.9999554601141392,-151.40049763945262
7.176,0.9999548581276816,-151.7511369719818
7.184,0.9999542832898274,-152.10164195811558
7.192,0.9999537355071262,-152.45201364445458
7.2,0.9999532146754914,-152.80225308111085
7.208,0.9999527206804545,-153.15236132165992
7.216,0.9999522533974171,-153.50233942309254
7.224,0.9999518126918985,-153.85218844576698
7.232,0.9999513984197838,-154.2019094533618
7.24,0.9999510104275684,-154.55150351282856
7.248,0.999950648552599,-154.90097169434523
7.256,0.9999503126233146,-155.2503150712696
7.264,0.9999500024594824,-155.59953472009332
7.272,0.9999497178724346,-155.9486317203959
7.28,0.9999494586652997,-156.29760715479927
7.288,0.9999492246332337,-156.64646210892263
7.296,0.9999490155636473,-156.9951976713374
7.304,0.9999488312364325,-157.34381493352268
7.312,0.999948671424185,-157.69231498982103
7.32,0.9999485358924256,-158.04069893739435
7.328,0.999948424399819,-158.38896787618017
7.336,0.9999483366983902,-158.73712290884836
7.344,0.9999482725337377,-159.0851651407578
7.352,0.9999482316452448,-159.4330956799138
7.36,0.9999482137662908,-159.78091563692536
7.368,0.9999482186244559,-160.12862612496298
7.376,0.9999482459417272,-160.47622825971672
7.384,0.9999482954346993,-160.82372315935447
7.392,0.9999483668147765,-161.1711119444806
7.4,0.9999484597883689,-161.51839573809474
7.4079999999999995,0.9999485740570875,-161.8655756655509
7.416,0.9999487093179394,-162.21265285451727
7.4239999999999995,0.9999488652635151,-162.5596284349352
7.432,0.9999490415821806,-162.90650353897993
7.4399999999999995,0.9999492379582605,-163.2532793010202
7.448,0.9999494540722239,-163.59995685757926
7.4559999999999995,0.9999496896008648,-163.94653734729505
7.464,0.9999499442174824,-164.2930219108819
7.4719999999999995,0.9999502175920577,-164.63941169109117
7.48,0.9999505093914275,-164.98570783267328
7.4879999999999995,0.9999508192794586,-165.33191148233902
7.496,0.9999511469172168,-165.67802378872213
7.504,0.9999514919631352,-166.02404590234102
7.5120000000000005,0.9999518540731808,-166.36997897556182
7.52,0.9999522329010176,-166.7158241625606
7.5280000000000005,0.9999526280981675,-167.06158261928712
7.536,0.9999530393141705,-167.40725550342714
7.5440000000000005,0.9999534661967412,-167.7528439743669
7.552,0.999953908391923,-168.09834919315597
7.5600000000000005,0.9999543655442432,-168.44377232247192
7.568,0.9999548372968597,-168.7891145265839
7.5760000000000005,0.9999553232917127,-169.13437697131758
7.584,0.9999558231696691,-169.47956082401927
7.5920000000000005,0.999956336570667,-169.8246672535213
7.6,0.9999568631338577,-170.16969743010654
7.6080000000000005,0.999957402497745,-170.51465252547428
7.616,0.9999579543003237,-170.8595337127051
7.6240000000000006,0.9999585181792144,-171.20434216622715
7.632,0.9999590937717973,-171.5490790617816
7.640000000000001,0.999959680715344,-171.89374557638925
7.648,0.9999602786471451,-172.2383428883163
7.656000000000001,0.9999608872046398,-172.58287217704145
7.664,0.9999615060255397,-172.92733462322198
7.672,0.999962134747952,-173.2717314086614
7.68,0.9999627730105007,-173.61606371627596
7.688,0.9999634204524461,-173.96033273006225
7.696,0.9999640767138015,-174.3045396350646
7.704,0.9999647414354481,-174.64868561734275
7.712,0.9999654142592488,-174.9927718639398
7.72,0.9999660948281583,-175.33679956285008
7.728,0.999966782786333,-175.6807699029875
7.736,0.9999674777792381,-176.02468407415375
7.744,0.9999681794537525,-176.3685432670072
7.752,0.9999688874582722,-176.71234867303113
7.76,0.9999696014428118,-177.05610148450313
7.768,0.9999703210591034,-177.39980289446373
7.776,0.9999710459606961,-177.74345409668584
7.784,0.9999717758030482,-178.08705628564405
7.792,0.9999725102436243,-178.43061065648413
7.8,0.9999732489419861,-178.77411840499278
7.808,0.9999739915598814,-179.11758072756734
7.816,0.9999747377613335,-179.46099882118583
7.824,0.9999754872127274,-179.80437388337708
7.832,0.9999762395828942,179.8522928878091
7.84,0.9999769945431937,179.50900029383143
7.848,0.9999777517675958,179.1657471356867
7.856,0.9999785109327592,178.82253221393918
7.864,0.999979271718109,178.4793543287496
7.872,0.9999800338059125,178.13621227990447
7.88,0.999980796881353,177.79310486684494
7.888,0.9999815606326012,177.45003088869566
7.896,0.9999823247508871,177.10698914429344
7.904,0.9999830889305673,176.76397843221588
7.912,0.9999838528691927,176.42099755080994
7.92,0.9999846162675737,176.07804529822016
7.928,0.999985378829844,175.7351204724171
7.936,0.9999861402635217,175.3922218712253
7.944,0.999986900279571,175.04934829235157
7.952,0.9999876585924593,174.7064985334127
7.96,0.9999884149202161,174.3636713919636
7.968,0.999989168984486,174.0208656655247
7.976,0.9999899205105844,173.67808015161003
7.984,0.99999066922755,173.33531364775448
7.992,0.9999914148681928,172.99256495154145
8.0,0.9999921571691459,172.64983286063017
8.008,0.9999928958709121,172.30711617278325
8.016,0.9999936307179087,171.96441368589348
8.024000000000001,0.9999943614585141,171.62172419801152
8.032,0.9999950878451085,171.27904650737278
8.04,0.9999958096341165,170.9363794124242
8.048,0.9999965265860464,170.5937217118515
8.056000000000001,0.9999972384655295,170.2510722046061
8.064,0.9999979450413555,169.90842968993192
8.072,0.9999986460865091,169.56579296739187
8.08,0.9999993413782033,169.2231608368948
8.088000000000001,0.9999999999999999,168.8805320987222
8.096,0.9999999999999999,168.5379055535548
8.104,1.0,168.1952800024988
8.112,1.0,167.8526542471127
8.120000000000001,1.0,167.51002708943366
8.128,1.0,167.16739733200404
8.136,1.0,166.82476377789752
8.144,0.9999999999999999,166.48212523074534
8.152000000000001,1.0,166.13948049476315
8.16,1.0,165.79682837477685
8.168,1.0,165.45416767624883
8.176,0.9999999999999998,165.1114972053041
8.184000000000001,0.9999999999999999,164.7688157687569
8.192,0.9999999999999999,164.4261221741365
8.2,1.0,164.0834152297133
8.208,0.9999999999999999,163.74069374452503
8.216000000000001,1.0,163.39795652840303
8.224,1.0,163.05520239199817
8.232,1.0,162.7124301468068
8.24,1.0,162.36963860519697
8.248000000000001,1.0,162.02682658043457
8.256,1.0,161.68399288670938
8.264,1.0,161.34113633916084
8.272,0.9999999999999999,160.9982557539043
8.280000000000001,0.9999999999999999,160.6553499480572
8.288,1.0,160.31241773976507
8.296,0.9999999999999999,159.96945794822742
8.304,1.0,159.62646939372388
8.312,0.9999999999999999,159.2834508976407
8.32,1.0,158.9404012824961
8.328,1.0,158.59731937196722
8.336,0.9999999999999999,158.25420399091544
8.344,0.9999999999999999,157.91105396541346
8.352,1.0,157.56786812277053
8.36,1.0,157.22464529155954
8.368,0.9999999999999999,156.88138430164244
8.376,1.0,156.53808398419739
8.384,1.0,156.1947431717441
8.392,0.9999999999999999,155.85136069817116
8.4,1.0,155.50793539876153
8.408,1.0,155.1644661102196
8.416,0.9999999999999999,154.8209516706972
8.424,1.0,154.47739091982052
8.432,0.9999999999999999,154.13378269871612
8.44,0.9999999999999999,153.79012585003812
8.448,1.0,153.4464192179942
8.456,0.9999999999999999,153.1026616483729
8.464,1.0,152.7588519885699
8.472,1.0,152.41498908761506
8.48,0.9999999999999998,152.0710717961991
8.488,1.0,151.72709896670082
8.496,0.9999999999999999,151.38306945321352
8.504,1.0,151.03898211157266
8.512,0.9999999999999998,150.69483579938242
8.52,1.0,150.3506293760433
8.528,0.9999999999999999,150.00636170277892
8.536,1.0,149.66203164266378
8.544,1.0,149.31763806065013
8.552,1.0,148.97317982359593
8.56,0.9999999999999999,148.62865580029185
8.568,0.9999999999999999,148.28406486148936
8.576,0.9999999999999999,147.93940587992785
8.584,1.0,147.59467773036314
8.592,1.0,147.2498792895944
8.6,1.0,146.90500943649286
8.608,1.0,146.56006705202927
8.616,1.0,146.21505101930242
8.624,0.9999999999999999,145.86996022356678
8.632,0.9999999999999999,145.5247935522615
8.64,0.9999999999999999,145.17954989503795
8.648,0.9999999999999999,144.8342281437889
8.656,0.9999999999999999,144.48882719267638
8.664,0.9999999999999999,144.14334593816116
8.672,1.0,143.79778327903045
8.68,0.9999999999999999,143.4521381164278
8.688,1.0,143.10640935388108
8.696,0.9999999999999999,142.76059589733237
8.704,0.9999999999999999,142.41469665516635
8.712,1.0,142.0687105382402
8.72,1.0,141.72263645991225
8.728,0.9999999999999999,141.37647333607225
8.736,1.0,141.03022008517019
8.744,1.0,140.6838756282465
8.752,1.0,140.33743888896143
8.76,1.0,139.99090879362538
8.768,1.0,139.64428427122837
8.776,1.0,139.29756425347077
8.784,0.9999999999999999,138.95074767479292
8.792,0.9999999999999999,138.60383347240617
8.8,1.0,138.25682058632245
8.808,0.9999999999999999,137.90970795938594
8.815999999999999,1.0,137.56249453730283
8.824,1.0,137.21517926867253
8.832,0.9999999999999999,136.86776110501881
8.84,1.0,136.5202390008207
8.847999999999999,0.9999999999999999,136.1726119135434
8.856,0.9999999999999999,135.82487880366995
8.864,1.0,135.47703863473265
8.872,1.0,135.12909037334458
8.879999999999999,1.0,134.7810329892311
8.888,1.0,134.43286545526178
8.896,1.0,134.08458674748258
8.904,0.9999999999999999,133.7361958451477
8.911999999999999,1.0,133.38769173075158
8.92,1.0,133.03907339006156
8.928,0.9999999999999999,132.6903398121503
8.936,1.0,132.3414899894284
8.943999999999999,1.0,131.99252291767667
8.952,1.0,131.64343759607945
8.96,0.9999999999999998,131.29423302725763
8.968,1.0,130.9449082173015
8.975999999999999,1.0,130.59546217580402
8.984,0.9999999999999999,130.24589391589421
8.992,1.0,129.89620245427088
9.0,0.9999999999999999,129.54638681123606
9.008,1.0,129.19644601072878
9.016,1.0,128.84637908035887
9.024000000000001,1.0,128.49618505144142
9.032,1.0,128.1458629590306
9.04,1.0,127.795411841954
9.048,1.0000000000000002,127.44483074284702
9.056000000000001,1.0,127.09411870818774
9.064,1.0,126.74327478833146
9.072,1.0,126.39229803754536
9.08,1.0,126.0411875140436
9.088000000000001,1.0,125.68994228002269
9.096,1.0,125.3385614016965
9.104,1.0,124.9870439493314
9.112,1.0,124.63538899728212
9.120000000000001,1.0,124.2835956240274
9.128,0.9999999999999999,123.93166291220558
9.136,1.0,123.57958994865048
9.144,0.9999999999999999,123.22737582442753
9.152000000000001,0.9999999999999999,122.87501963486994
9.16,1.0,122.52252047961515
9.168,1.0,122.16987746264077
9.176,0.9999999999999999,121.81708969230147
9.184000000000001,1.0,121.46415628136579
9.192,1.0,121.11107634705274
9.2,1.0,120.7578490110686
9.208,1.0,120.40447339964422
9.216000000000001,1.0,120.05094864357216
9.224,0.9999999999999998,119.69727387824399
9.232,1.0,119.3434482436875
9.24,1.0,118.98947088460449
9.248000000000001,0.9999999999999999,118.63534095040843
9.256,1.0,118.28105759526231
9.264,1.0,117.92661997811612
9.272,1.0000000000000002,117.57202726274534
9.280000000000001,1.0,117.21727861778899
9.288,0.9999999999999999,116.8623732167878
9.296,1.0,116.50731023822256
9.304,0.9999999999999999,116.15208886555247
9.312000000000001,1.0,115.79670828725422
9.32,0.9999999999999999,115.44116769686025
9.328,1.0,115.08546629299758
9.336,1.0,114.72960327942681
9.344,1.0,114.37357786508143
9.352,1.0,114.01738926410628
9.36,0.9999999999999999,113.66103669589755
9.368,0.9999999999999999,113.30451938514132
9.376,0.9999999999999999,112.94783656185372
9.384,0.9999999999999999,112.59098746141981
9.392,0.9999999999999999,112.23397132463377
9.4,0.9999999999999999,111.876787397738
9.408,0.9999999999999999,111.51943493246353
9.416,0.9999999999999999,111.16191318606921
9.424,0.9999999999999999,110.80422142138252
9.432,1.0,110.44635890683868
9.44,0.9999999999999999,110.08832491652167
9.448,1.0,109.73011873020366
9.456,1.0,109.3717396333859
9.464,0.9999999999999999,109.01318691733864
9.472,0.9999998792117174,108.65445987914201
9.48,0.9999997376090493,108.29555782172591
9.488,0.9999996048386932,107.93648005391123
9.496,0.9999994810638747,107.57722589044995
9.504,0.9999993664454062,107.21779465206626
9.512,0.9999992611416362,106.85818566549683
9.52,0.9999991653083957,106.49839826353224
9.528,0.9999990790989496,106.13843178505708
9.536,0.9999990026639434,105.77828557509166
9.544,0.9999989361513549,105.4179589848322
9.552,0.999998879706445,105.0574513716925
9.56,0.999998833471706,104.69676209934443
9.568,0.9999987975868163,104.33589053775948
9.576,0.9999987721885899,103.97483606324937
9.584,0.9999987574109306,103.61359805850783
9.592,0.9999987533847844,103.25217591265098
9.6,0.9999987602380934,102.89056902125938
9.608,0.9999987780957503,102.52877678641846
9.616,0.9999988070795532,102.16679861676043
9.624,0.9999988473081612,101.80463392750492
9.632,0.9999988988970502,101.44228214050088
9.64,0.9999989619584709,101.07974268426715
9.648,0.999999036601405,100.71701499403443
9.656,0.9999991229315238,100.35409851178593
9.664,0.9999992210511477,99.99099268629921
9.672,0.9999993310592045,99.6276969731868
9.68,0.999999453051191,99.26421083493824
9.688,0.999999587119132,98.90053374096041
9.696,0.9999997333515441,98.53666516761967
9.704,0.9999998918333968,98.17260459828218
9.712,1.0,97.80835152335577
9.72,1.0,97.44390544033055
9.728,1.0,97.0792658538205
9.736,0.9999999999999999,96.71443227560387
9.744,1.0,96.34940422466495
9.752,1.0,95.98418122723432
9.76,0.9999999999999999,95.61876281683033
9.768,1.0,95.25314853429946
9.776,0.9999999999999999,94.88733792785757
9.784,0.9999999999999999,94.52133055313011
9.792,1.0,94.15512597319334
9.8,1.0,93.78872375861422
9.808,1.0,93.42212348749167
9.816,0.9999999999999999,93.05532474549611
9.824,1.0,92.6883271259106
9.832,1.0,92.32113022967035
9.84,0.9999999999999998,91.95373366540338
9.847999999999999,0.9999999999999999,91.58613704947007
9.856,1.0,91.21834000600322
9.864,0.9999999999999999,90.85034216694805
9.872,0.9999999999999999,90.48214317210159
9.879999999999999,0.9999999999999999,90.1137426691521
9.888,1.0,89.7451403137186
9.896,1.0,89.37633576939027
9.904,1.0,89.00732870776547
9.911999999999999,0.9999999999999999,88.63811880849036
9.92,1.0,88.26870575929807
9.928,1.0,87.89908925604732
9.936,0.9999999999999999,87.52926900276084
9.943999999999999,1.0,87.1592447116635
9.952,1.0,86.7890161032205
9.96,0.9999999999999998,86.41858290617564
9.968,0.9999999999999999,86.04794485758873
9.975999999999999,0.9999999999999999,85.67710170287309
9.984,1.0,85.30605319583302
9.992,1.0,84.93479909870113
10.0,0.9999999999999999,84.56333918217517
10.008,1.0,84.19167322545441
10.016,0.9999999999999999,83.81980101627649
10.024000000000001,1.0,83.4477223509537
10.032,1.0,83.0754370344089
10.04,1.0,82.70294488021113
10.048,1.0,82.33024571061128
10.056000000000001,0.9999999999999999,81.95733935657753
10.064,1.0,81.5842256578302
10.072,1.0,81.21090446287634
10.08,1.0,80.83737562904426
10.088000000000001,0.9999999999999999,80.46363902251805
10.096,1.0,80.08969451837113
10.104,0.9999999999999999,79.7155420005998
10.112,0.9999999999999998,79.34118136215662
10.120000000000001,0.9999999999999999,78.96661250498364
10.128,1.0,78.59183534004484
10.136,1.0,78.21684978735836
10.144,1.0,77.84165577602862
10.152000000000001,1.0,77.4662532442783
10.16,1.0,77.09064213947937
10.168,0.9999999999999999,76.71482241818401
10.176,0.9999999999999999,76.33879404615544
10.184000000000001,1.0,75.96255699839828
10.192,1.0,75.58611125918839
10.2,0.9999999999999999,75.20945682210211
10.208,1.0,74.83259369004577
10.216000000000001,1.0,74.45552187528442
10.224,0.9999999999999999,74.07824139947019
10.232,1.0,73.70075229366999
10.24,1.0,73.32305459839324
10.248000000000001,0.9999999999999999,72.94514836361925
10.256,0.9999999999999999,72.56703364882371
10.264,1.0,72.18871052300474
10.272,0.9999999999999999,71.81017906470903
10.280000000000001,0.9999999999999999,71.43143936205735
10.288,0.9999999999999999,71.05249151276927
10.296,0.9999999999999999,70.6733356241876
10.304,1.0,70.29397181330246
10.312000000000001,1.0,69.91440020677511
10.32,1.0,69.53462094096072
10.328,0.9999999999999999,69.15463416193091
10.336,1.0000000000000002,68.77444002549596
10.344000000000001,0.9999999999999999,68.39403869722648
10.352,1.0,68.01343035247446
10.36,1.0,67.63261517639357
10.368,0.9999999999999999,67.25159336395943
10.376000000000001,1.0,66.8703651199892
10.384,1.0,66.48893065916052
10.392,1.0,66.10729020602963
10.4,0.9999999999999999,65.72544399504953
10.408000000000001,1.0,65.34339227058742
10.416,0.9999999999999999,64.96113528694127
10.424,0.9999999999999999,64.57867330835596
10.432,1.0,64.1960066090389
10.440000000000001,0.9999999999999999,63.81313547317536
10.448,0.9999999999999999,63.430060194942655
10.456,1.0,63.046781078523864
10.464,0.9999999999999999,62.6632984381212
10.472000000000001,1.0000000000000002,62.279612597968836
10.48,1.0,61.89572389234472
10.488,0.9999999999999998,61.51163266558174
10.496,0.9999999999999999,61.12733927207882
10.504000000000001,1.0,60.74284407631091
10.512,1.0,60.35814745283853
10.52,1.0,59.97324978631635
10.528,1.0,59.588151471501405
10.536000000000001,1.0,59.202852913260934
10.544,0.9999999999999999,58.817354526578896
10.552,1.0,58.43165673656199
10.56,1.0,58.04575997844533
10.568000000000001,1.0000000000000002,57.659664697597314
10.576,0.9999999999999999,57.27337134952355
10.584,1.0,56.88688039987014
10.592,0.9999999999999999,56.50019232442637
10.600000000000001,1.0,56.11330760912703
10.608,0.9999999999999999,55.72622675005324
10.616,0.9999999999999998,55.33895025343305
10.623999999999999,0.9999999999999999,54.951478635641244
10.632,1.0,54.56381242319834
10.64,0.9999999999999998,54.175952152769106
10.648,1.0,53.78789837116002
10.655999999999999,1.0,53.39965163531575
10.664,1.0,53.01121251231537
10.672,1.0,52.62258157936806
10.68,1.0,52.233759423807065
10.687999999999999,0.9999999999999999,51.84474664308358
10.696,1.0,51.45554384475962
10.704,1.0,51.06615164650051
10.712,1.0,50.67657067606605
10.719999999999999,1.0,50.28680157130088
10.728,0.9999999999999999,49.89684498012445
10.736,0.9999999999999999,49.50670156052023
10.744,0.9999999999999999,49.11637198052361
10.751999999999999,1.0,48.72585691820913
10.76,1.0000000000000002,48.335157061677165
10.768,1.0,47.944273109039855
10.776,1.0000000000000002,47.55320576840571
10.783999999999999,1.0,47.16195575786368
10.792,1.0,46.77052380546635
10.8,0.9999999999999999,46.37891064921261
10.808,0.9999999999999999,45.98711703702902
10.815999999999999,0.9999999999999999,45.595143726750344
10.824,1.0,45.20299148609939
10.832,0.9999999999999999,44.810661092666514
10.84,0.9999999999999999,44.41815333388737
10.847999999999999,0.9999999999999998,44.025469007019915
10.856,1.0,43.63260891912135
10.864,1.0,43.23957388702343
10.872,1.0,42.84636473730739
10.879999999999999,0.9999999999999999,42.4529823062772
10.888,1.0,42.05942743993307
10.896,1.0,41.66570099394334
10.904,1.0,41.27180383361577
10.911999999999999,1.0,40.877736833867495
10.92,1.0,40.48350087919478
10.928,1.0,40.089096863641664
10.936,1.0,39.694525690767435
10.943999999999999,1.0,39.299788273613295
10.952,0.9999999999999999,38.90488553466842
10.96,0.9999999999999999,38.50981840583511
10.968,1.0,38.11458782839268
10.975999999999999,1.0,37.71919475296067
10.984,0.9999999999999999,37.323640139461205
10.992,1.0,36.92792495708062
11.0,0.9999999999999999,36.53205018422994
11.008,0.9999999999999999,36.13601680850417
11.016,1.0,35.739825826641486
11.024000000000001,1.0,35.343478244480984
11.032,1.0,34.946975076919735
11.04,1.0,34.55031734786853
11.048,1.0,34.15350609020726
11.056000000000001,0.9999999999999999,33.756542345739454
11.064,1.0,33.35942716514544
11.072,1.0,32.96216160793469
11.08,1.0,32.56474674239758
11.088000000000001,1.0,32.167183645556435
11.096,1.0,31.769473403115025
11.104,1.0,31.371617109407495
11.112,1.0,30.973615867346435
11.120000000000001,1.0,30.57547078837044
11.128,1.0,30.1771829923901
11.136,0.9999999999999999,29.778753607733428
11.144,1.0,29.38018377109029
11.152000000000001,1.0,28.981474627456638
11.16,1.0,28.58262733007688
11.168,1.0,28.18364304038572
11.176,1.0000000000000002,27.784522927949507
11.184000000000001,1.0,27.385268170406455
11.192,0.9999999999999999,26.985879953406
11.2,1.0,26.586359470547027
11.208,0.9999999999999999,26.186707923315733
11.216000000000001,1.0,25.78692652102262
11.224,1.0,25.38701648073826
11.232,1.0,24.986979027228372
11.24,1.0,24.586815392887967
11.248000000000001,1.0,24.186526817675414
11.256,1.0,23.786114549044594
11.264,0.9999999999999999,23.385579841876662
11.272,1.0,22.984923958411198
11.280000000000001,1.0,22.584148168176593
11.288,0.9999999999999999,22.18325374791927
11.296,0.9999999999999999,21.782241981532074
11.304,1.0000000000000002,21.381114159982232
11.312000000000001,1.0,20.979871581238566
11.32,0.9999999999999999,20.578515550197643
11.328,1.0,20.177047378608833
11.336,1.0,19.775468384999343
11.344000000000001,1.0,19.373779894598247
11.352,1.0,18.97198323925959
11.36,1.0,18.57007975738445
11.368,1.0,18.168070793842915
11.376000000000001,1.0,17.765957699895228
11.384,0.9999999999999999,17.363741833111792
11.392,0.9999999999999999,16.961424557292432
11.4,1.0,16.559007242385473
11.408000000000001,0.9999999999999999,16.156491264405936
11.416,1.0,15.753878005352846
