freq,mag,phase
6.0,1.0000953585218493,-168.0228103813405
6.002284544,1.0000859276562792,-168.17383217842186
6.004568576,1.0000714707445553,-168.32468263196677
6.00685312,1.0000529965252012,-168.4752629813049
6.009137664,1.000031751617572,-168.62552207649708
6.011422208,1.000009159491518,-168.77549454700775
6.01370624,0.9999864824407199,-168.9251209283099
6.015990784,0.9999653024885501,-169.07436898731652
6.018275328,0.9999468978498014,-169.22335003714662
6.020559872,0.9999324675055942,-169.3720753874006
6.022843904,0.9999228121531153,-169.52056701506694
6.025128448,0.9999187434210833,-169.66899663820544
6.027412992,0.9999203805855833,-169.81736061224913
6.029697536,0.9999276015367975,-169.96577243863402
6.031981568,0.9999400647615547,-170.1143649531341
6.034266112,0.9999568978600799,-170.26311325863117
6.036550656,0.9999770098812808,-170.41208615594908
6.0388352,0.9999991879974353,-170.5613786402018
6.041119232,1.000022082446425,-170.71099241362154
6.043403776,1.0000440290336885,-170.8608916412156
6.04568832,1.000063936198233,-171.0111158982087
6.047972352,1.0000803323902483,-171.16153696006833
6.050256896,1.000092242078102,-171.312194421461
6.05254144,1.00009888879588,-171.46294021101346
6.054825984,1.0000999375131678,-171.61374892452832
6.057110016,1.0000951060953247,-171.7645009612523
6.05939456,1.0000849843943396,-171.91512900760696
6.061679104,1.000070058289099,-172.06555345245533
6.063963648,1.0000512717907823,-172.21572307112237
6.06624768,1.0000298134532906,-172.365580253571
6.068532224,1.0000069782855348,-172.51509423319771
6.070816768,0.999984414398049,-172.6642877464651
6.073101312,0.9999633443159204,-172.8131320976249
6.075385344,0.999945249782014,-172.9616702652337
6.077669888,0.9999310905233812,-173.10993938143912
6.079954432,0.9999219176860281,-173.25805137864293
6.082238976,0.9999182068733868,-173.40605602803694
6.084523008,0.9999203743988128,-173.5540070998488
6.086807552,0.9999280517157352,-173.70202825317367
6.089092096,0.9999410573978553,-173.8501876945635
6.091376128,0.9999582327147455,-173.99853789743463
6.093660672,0.9999786901551414,-174.1471532955422
6.095945216,1.0000009834460701,-174.2960592367252
6.09822976,1.0000239924286114,-174.44530431174655
6.100513792,1.0000458698457402,-174.5948034472955
6.102798336,1.0000655088628618,-174.74463571420506
6.10508288,1.0000817064937877,-174.89468315333966
6.107367424,1.000093185533275,-175.04490284377314
6.109651456,1.0000993953674218,-175.19524119341148
6.111936,1.0000999086751448,-175.3456352983492
6.114220544,1.0000946530827752,-175.49597322315188
6.116505088,1.0000840245100935,-175.64617988510568
6.11878912,1.0000687069911285,-175.7961773759778
6.121073664,1.0000494821372983,-175.94589338094096
6.123358208,1.0000278933753324,-176.09530647821092
6.12564224,1.000005000369125,-176.24439592361784
6.127926784,0.9999823072304372,-176.39311285650584
6.130211328,0.9999613906213223,-176.54150016515374
6.132495872,0.9999435712592277,-176.68956534966094
6.134779904,0.9999297781838559,-176.83741328494327
6.137064448,0.9999210879469077,-176.9850734389532
6.139348992,0.9999179750235416,-177.1326551830606
6.141633536,0.9999205996884457,-177.2801666831926
6.143917568,0.9999288268591053,-177.42776652636405
6.146202112,0.9999421512864495,-177.57550728602186
6.148486656,0.9999596600387678,-177.72344152055746
6.1507712,0.9999804827212369,-177.87166361896195
6.153055232,1.0000029272161042,-178.02017626409864
6.155339776,1.0000258515823386,-178.16896024076146
6.15762432,1.0000477683819686,-178.31808282103486
6.159908864,1.0000672034810452,-178.46748235976656
6.162192896,1.0000830002977157,-178.6171668864128
6.16447744,1.000094073878478,-178.7669582236117
6.166761984,1.0000998286302223,-178.91690346227222
6.169046016,1.000099857723554,-179.06683496107803
6.17133056,1.000094047441691,-179.21672640574423
6.173615104,1.0000830717116596,-179.36645920461024
6.175899648,1.0000671508794945,-179.51601211196407
6.17818368,1.0000477023162937,-179.66527529637523
6.180468224,1.000025879231982,-179.81423627654527
6.182752768,1.0000029524115541,-179.96281532336286
6.185037312,0.9999803022215431,179.8889247593107
6.187321344,0.9999594314629722,179.7410249511296
6.189605888,0.9999419102759536,179.59340553139492
6.191890432,0.9999284808525506,179.44603440134165
6.194174976,0.9999203216370638,179.29881865093967
6.196459008,0.9999176021124112,179.15171395115254
6.198743552,0.9999207478769103,179.0046446181855
6.201028096,0.9999293842024587,178.85747611376104
6.20331264,0.9999432330076179,178.71019308043952
6.205596672,0.9999611727416577,178.5626705267048
6.207881216,0.9999821710426674,178.41489202914366
6.21016576,1.0000048598254714,178.2668047296147
6.212449792,1.0000277771749682,178.11843153576572
6.214734336,1.0000495706404398,177.9697074624827
6.21701888,1.0000688362326153,177.82075196561948
6.219303424,1.000084264064117,177.67152050066662
6.221587456,1.0000949461672,177.52215712170135
6.223872,1.0001002359439186,177.3726695525472
6.226156544,1.0000996171921237,177.22319112735985
6.228441088,1.0000934608970187,177.07376948856975
6.23072512,1.000081922340101,176.92448200258548
6.233009664,1.0000657124233465,176.77543362869167
6.235294208,1.0000458958827712,176.62665726440457
6.237578752,1.0000237699594259,176.47818665890455
6.239862784,1.00000071625087,176.3300821349901
6.242147328,0.9999780911507048,176.18231452387576
6.244431872,0.9999575659487157,176.0348958564028
6.246716416,0.9999401787011025,175.88777064597548
6.249000448,0.9999271536354902,175.7408864865079
6.251284992,0.9999194194273059,175.59415181127022
6.253569536,0.9999171925842453,175.447526667418
6.255853568,0.9999208362903634,175.30091577239438
6.258138112,0.9999300939783722,175.1542098283611
6.260422656,0.9999443417922739,175.00735702423455
6.2627072,0.999962614498835,174.86029994916632
6.264991232,0.999983880527963,174.71295406931765
6.267275776,1.0000067155662764,174.56533579589006
6.26956032,1.0000297767047857,174.41737623688027
