a,h,e,angle
11.4,11.4,1.7,167.2654954212994
10.1,9.4,2.3,-164.78651367590626
2.0,14.7,2.3,78.64230644189605
9.2,12.4,2.6,90.92534256061994
6.4,16.2,2.7,-38.89046828298772
13.1,7.4,1.6,-74.06827007713822
2.0,5.2,2.5,29.211491302703877
7.5,7.0,1.4,-22.73095312871642
6.9,19.2,1.9,-78.95409398969375
7.5,3.3,2.1,85.21387645871613
11.3,9.8,1.5,-131.54055394895263
5.7,13.0,2.0,127.96697921058356
11.5,3.5,2.0,72.76306457075728
7.6,6.4,1.7,-15.678763905490388
2.3,15.2,1.6,99.21606961153348
4.0,16.3,1.7,54.37982856396264
10.7,5.9,2.7,-63.58177648697693
7.6,9.3,2.0,-130.16100597100458
3.8,10.1,2.6,-158.96335058978278
5.9,19.9,1.6,-59.153768483863765
9.3,4.6,1.4,49.84910624045922
4.2,18.8,1.6,-14.54172331931693
10.9,5.5,2.2,-20.23685247810768
4.8,16.8,1.3,68.21085323310493
13.1,11.8,1.3,-173.31388908448324
5.2,2.8,1.4,104.90375380602204
11.2,19.1,2.1,-151.40491610183213
4.2,9.3,1.7,-97.19440433372624
5.4,3.1,1.4,96.54225124036375
3.0,11.1,2.3,-174.0927915125809
8.9,4.0,1.4,68.72452026342546
10.2,14.7,1.7,73.19571427077744
8.5,12.8,2.7,75.10488777318864
7.0,4.0,2.2,61.00717874908416
9.7,9.5,2.7,176.87939920241934
9.7,18.3,2.1,-106.55848603176344
10.1,18.2,1.7,-53.3678400553421
9.6,12.3,2.2,116.78834769199804
13.4,13.7,1.5,110.85507555309782
4.4,16.2,1.3,85.92243376372339
10.5,18.1,1.3,12.083524313518549
4.7,18.1,1.5,13.070405473211178
3.4,3.0,1.4,99.77060609671318
9.3,3.1,2.0,90.55095055193634
7.3,13.2,2.4,89.30096189669669
7.4,17.0,2.4,-58.58107808442198
9.9,16.4,2.3,-63.20257426568924
11.3,10.5,2.0,172.82365471294796
6.0,20.0,2.4,-142.59766187950646
9.9,17.1,2.7,-131.17811514061873
6.8,16.9,1.3,60.57326329758494
12.2,9.7,1.5,-132.79994662706991
12.1,5.1,2.5,-25.815808865164804
5.0,9.0,2.4,-121.88774335072672
9.3,18.4,2.5,-145.83881069508226
8.9,14.9,2.1,35.94685981248922
8.4,13.4,2.4,73.45678148727598
12.5,10.1,2.3,160.18197187734685
5.1,10.6,2.6,176.29519849993957
5.7,5.0,1.6,38.64989621256469
3.4,2.2,2.5,120.36038483621977
13.4,4.9,2.1,-5.010775516208519
9.7,13.2,1.9,107.8613447614859
7.6,18.8,1.8,-61.49741611058428
9.6,18.9,1.8,-86.74625723645603
8.5,7.0,2.1,-61.37211642215569
9.7,17.6,1.6,-13.035140407857517
8.5,4.1,1.8,60.01815824787133
10.7,3.8,1.3,74.963385769621
8.2,2.9,2.0,98.122265771376
14.0,7.3,1.6,-76.57940993295996
4.5,14.8,2.6,43.51461862877719
3.2,7.0,2.6,-42.80779788018919
3.2,18.7,2.3,-57.89004806850454
2.7,3.4,1.5,88.6646606902918
6.7,13.1,1.3,167.4796276880932
7.3,11.0,2.5,155.10084045741652
6.2,8.6,2.7,-130.05841815859077
11.2,15.5,1.4,76.62293025652727
9.5,15.8,2.2,-19.539051194489087
11.3,13.4,2.3,52.493948040966906
13.2,19.9,2.5,113.35302477443672
13.7,15.6,1.7,7.58833255255616
4.2,19.5,2.0,-70.91379642952778
3.6,17.1,2.5,-21.47398953240931
10.4,6.2,2.3,-53.71354021206903
3.0,19.2,1.3,4.685311994111945
8.2,10.2,2.0,-161.30758313947095
8.3,3.8,1.8,70.45321393099601
12.4,14.3,2.7,-66.76583006924801
7.7,9.4,2.7,-167.16843284261165
6.5,14.2,2.1,79.92792933008435
10.1,2.1,2.3,121.00568891713638
10.9,15.7,2.5,-75.50085049210931
8.1,14.4,2.5,28.711584135526365
6.0,14.9,2.2,53.02835898258351
3.8,5.0,2.4,31.79053993003497
9.0,15.1,1.4,96.42762384964944
5.1,5.5,2.4,8.350623894074612
2.4,11.7,1.6,-158.96918823292336
11.1,13.1,2.3,67.91387770621088
4.8,16.0,2.4,11.317321465399427
7.2,15.3,1.5,87.19834606260812
10.3,7.5,2.5,-115.80709360542258
6.1,18.0,1.8,-20.57646580455842
10.9,2.6,1.9,106.2781074824883
6.5,17.1,2.4,-49.3068550129688
10.2,15.4,2.2,-12.35153771130447
10.5,8.6,1.4,-83.2167923406771
7.2,13.8,2.1,88.7735688828956
2.1,17.8,1.9,5.007652392380145
5.8,13.2,1.3,166.64157750625012
6.9,17.7,2.5,-86.45151609740505
5.2,5.7,1.7,15.573667368243626
4.3,13.1,1.7,147.88334408921483
11.9,9.9,2.7,150.96272783372535
7.0,13.5,2.1,99.75328775309274
12.7,12.6,2.2,81.6140340124979
6.5,10.6,1.4,-128.86180342688834
11.3,8.3,2.1,-129.00194605579082
6.6,4.9,1.5,42.08031413949499
11.7,15.5,1.7,33.19487399904915
11.1,13.8,2.7,-10.430858006567156
6.3,14.6,2.6,33.61633100731638
4.5,9.0,2.0,-101.72369752427842
11.5,15.2,1.7,46.36224299076432
13.5,2.9,1.5,98.12864870496188
5.8,5.9,1.3,17.11418383505313
10.0,19.5,1.8,-110.9275773604504
7.2,5.0,2.7,10.161252575893863
12.1,8.1,1.3,-64.22440624740064
11.3,6.1,2.3,-57.32111982415472
3.9,16.1,2.4,16.053357225720216
12.4,15.8,2.1,-52.700159895050895
13.9,18.8,2.0,-166.07765561728763
8.0,19.4,1.9,-97.8274517294512
12.6,19.0,2.5,152.5432737524447
9.1,2.1,1.6,123.15310999463132
3.8,13.8,1.8,123.52028044430388
4.3,18.9,2.3,-76.4042786217219
6.7,18.9,1.9,-66.81126321554198
11.0,18.8,2.1,-139.95284808302762
11.9,17.2,2.7,-163.96038089164946
11.5,13.7,2.3,35.885446817573715
5.7,6.4,2.5,-33.66198047960217
8.3,17.7,1.3,32.68549758674673
3.0,6.0,2.2,2.9674962937447944
3.3,7.2,1.9,-32.228671903155934
3.6,8.4,1.6,-62.86316173396101
10.1,16.0,1.8,14.936641091307957
7.8,14.7,2.2,45.1622029314384
4.2,14.4,1.9,98.17926899274885
7.8,13.3,1.3,159.52193577239504
3.7,17.3,1.8,18.30349889690514
2.6,2.5,1.8,112.97413919728392
12.3,9.1,1.8,-140.53610827034595
8.7,11.7,1.8,164.29003561661858
13.2,14.1,1.9,46.90493719832978
10.4,9.1,2.6,-171.74448524340846
8.9,19.3,1.8,-92.1238861426092
11.8,12.0,1.7,148.7039922883481
12.6,9.5,2.6,162.17044165221876
13.9,16.6,2.2,-127.95236803482447
2.0,3.0,2.6,97.72647889867272
12.5,5.7,2.6,-68.18587572213042
9.3,17.0,1.6,11.178642789099206
13.9,19.5,2.5,114.13212943644209
8.2,15.3,2.2,17.861290863478118
7.7,2.1,2.7,121.22405543558268
11.7,4.5,2.5,11.332400862542878
4.6,15.7,2.4,23.623534731596266
7.9,2.5,1.3,113.0028110260918
12.9,8.5,2.5,-167.95128306017904
8.8,16.9,2.7,-106.45872227843168
12.2,16.2,2.5,-118.8946882030517
10.9,7.0,1.6,-46.91602137832411
9.0,14.3,2.5,21.427068203713542
4.9,8.1,2.7,-101.35428914449332
10.0,7.1,1.7,-52.3464423647323
2.9,5.1,2.4,31.085027400276832
9.5,12.9,1.9,118.387909223248
9.9,13.5,2.0,88.76894264687311
10.8,7.6,1.3,-44.56057672149069
12.7,17.7,2.3,-153.0684653210266
13.8,17.9,2.3,-174.9735263491527
11.3,7.6,1.7,-78.06261710118828
8.9,12.7,2.3,101.60689266912178
13.2,9.7,2.2,171.94412185402464
8.9,10.5,2.4,165.49554727685774
2.1,13.4,2.2,122.911952980102
3.4,7.3,2.7,-58.59163396129703
12.4,17.3,1.5,-8.412920124506755
7.7,7.3,1.4,-32.7201257250611
12.2,15.5,2.1,-35.29539300282226
4.4,17.6,2.2,-25.82684349819652
8.6,10.1,1.6,-135.84845693325818
9.6,2.8,2.4,97.59636495581704
2.3,5.7,1.8,20.168677111173395
9.4,2.5,2.3,108.57498420990224
6.2,5.7,2.4,-5.377611185898079
2.5,2.3,2.5,117.8030938837896
7.7,19.7,1.5,-53.30598434298194
4.3,2.1,2.5,122.93829632161696
3.4,12.5,1.3,-168.963344741316
4.4,6.7,1.4,-6.973363156253376
3.7,16.6,1.3,76.13636722075756
4.2,11.5,1.6,-159.25237443993208
2.4,7.3,1.9,-32.22324771305774
9.6,10.9,1.3,-138.71608576348362
5.3,8.0,2.3,-84.65546049990687
8.4,6.9,1.3,-16.973657573060922
10.4,3.3,2.0,82.18840282090675
7.9,6.1,2.0,-17.695102615075893
8.4,3.9,2.5,56.81519809802828
7.3,3.7,2.5,67.7801135956986
3.4,17.6,1.5,32.86277813196107
7.8,7.4,2.1,-71.56960929197693
12.3,10.5,2.7,129.01104082527308
12.5,17.4,2.3,-141.18269350415417
5.2,6.4,2.1,-18.2775500914963
4.4,14.7,1.9,88.14457773934669
8.7,17.5,2.4,-97.26288629896425
9.7,3.7,2.1,67.39460153042644
6.8,19.0,2.6,-138.27340202889357
4.4,8.9,1.3,-68.378407847761
13.4,18.8,1.6,-94.1469509808522
2.8,18.8,2.7,-83.52019769349508
3.2,6.3,2.2,-8.087852140608476
3.7,5.6,2.1,15.82740097649988
3.9,13.9,2.6,78.23521158338363
9.4,19.3,2.2,-145.58440904046404
8.8,16.2,2.3,-37.50033965441396
2.5,11.1,1.9,-154.48808631043838
13.2,16.3,1.8,-35.78443855645252
10.8,4.6,2.5,12.492746195456666
10.9,4.1,1.3,65.81427821365246
