a,h,e,phase
11.2,4.5,2.25,-133.29556490391423
13.8,4.8,1.24,-123.11406343842788
9.7,4.4,2.72,-133.43773387158726
10.7,5.2,2.53,-168.67955895004562
4.0,4.6,2.25,-118.08280102253904
6.6,4.9,1.24,-119.87439949993622
8.9,4.7,2.25,-132.80377429464298
2.8,5.0,1.24,-120.92737099870062
11.5,5.0,1.24,-125.80318409110316
7.7,5.1,1.24,-125.3267155453267
3.9,5.2,1.24,-126.15474716038516
12.3,4.7,2.25,-146.47816314138268
13.1,4.4,2.72,-152.2273241882254
5.1,4.8,2.25,-126.2222546087889
6.9,5.3,2.53,-152.49577585215192
10.0,4.9,2.25,-144.34235866617243
13.4,4.9,2.25,-161.63329340203734
6.2,5.0,2.25,-134.76764231295886
2.4,5.1,2.25,-129.98657523530522
12.6,5.2,1.24,-133.01689467368453
8.8,5.3,1.24,-131.52413284586856
5.9,4.5,2.72,-123.17372230944322
11.1,5.1,2.25,-157.47792513719313
3.1,5.4,2.53,-142.45684726445458
7.3,5.2,2.25,-145.1443120229551
5.0,5.4,1.24,-131.30674397400824
9.9,5.5,1.24,-138.1343838662192
6.1,5.6,1.24,-137.4470457140938
3.5,5.3,2.25,-137.6756754401772
2.1,4.6,2.72,-117.8796745948912
11.8,5.4,2.53,-186.13382684427694
8.0,5.5,2.53,-165.59886763059413
11.0,5.7,1.24,-144.39905414886178
7.2,5.8,1.24,-143.82591797917115
3.4,5.9,1.24,-143.4816191198224
12.2,5.3,2.25,-172.89458511894398
8.4,5.4,2.25,-156.639667057935
12.1,5.9,1.24,-151.22655482082138
4.2,5.6,2.53,-151.95955440432562
8.3,6.0,1.24,-149.57474948350531
10.8,4.6,2.72,-147.634015391246
12.9,5.6,2.53,-206.5240691857272
7.0,4.7,2.72,-134.07787981327618
3.2,4.8,2.72,-125.78620701725902
4.6,5.5,2.25,-146.28141108753496
13.3,5.5,2.25,-190.0552125236256
9.5,5.6,2.25,-169.67862791962548
8.1,4.9,2.72,-146.86170204953612
2.3,5.7,2.25,-146.85587416532792
5.7,5.7,2.25,-156.4858444066172
4.5,6.1,1.24,-149.1476599223799
4.3,5.0,2.72,-135.1342623741664
10.6,5.8,2.25,-183.98915298156282
9.2,5.1,2.72,-161.2635839064083
5.4,5.2,2.72,-145.85718125158573
10.3,5.3,2.72,-177.74767862267308
6.8,5.9,2.25,-167.6844036730014
9.1,5.7,2.53,-180.74044518580754
11.7,6.0,2.25,-200.15568144782995
5.3,5.8,2.53,-163.30389198013768
13.2,6.1,1.24,-159.19157532830403
7.9,6.1,2.25,-180.39817163418877
12.8,6.2,2.25,-218.49753749041932
13.7,5.3,2.72,-211.93478267475754
9.0,6.3,2.25,-194.30224960654556
5.2,6.4,2.25,-177.55489046551344
14.0,5.8,2.53,-230.60213794733258
6.5,5.4,2.72,-158.31523681261828
9.4,6.2,1.24,-156.47451493567564
2.2,6.3,1.24,-153.84683246782782
2.7,5.5,2.72,-146.23494718383566
5.6,6.3,1.24,-155.13641571249852
10.2,5.9,2.53,-197.21540353776405
3.0,6.0,2.53,-161.0933865481244
6.4,6.0,2.53,-175.9708837859402
10.5,6.4,1.24,-163.9496060167504
11.4,5.5,2.72,-196.04481383714733
11.3,6.1,2.53,-215.53749805588083
13.9,6.4,2.25,-239.07611336816467
4.1,6.2,2.53,-171.7205716824055
7.5,6.2,2.53,-190.33254009666746
10.1,6.5,2.25,-209.425117767417
3.3,6.5,1.24,-158.25687311360912
6.7,6.5,1.24,-161.3219967825245
2.9,6.6,2.25,-175.31664491402984
12.4,6.3,2.53,-235.21875940867832
8.6,6.4,2.53,-206.5881334972534
11.6,6.6,1.24,-171.11392964359015
7.6,5.6,2.72,-172.52497915098402
13.5,6.5,2.53,-259.0458345563759
4.4,6.7,1.24,-164.61169883456964
7.8,6.7,1.24,-167.71071266635423
9.7,6.6,2.53,-223.34106057384935
3.8,5.7,2.72,-156.45418471430588
2.5,6.7,2.53,-181.46500218243156
5.9,6.7,2.53,-199.1617830365669
12.7,6.8,1.24,-178.41238566458793
12.5,5.7,2.72,-217.75730143698004
8.7,5.8,2.72,-188.8700469734034
6.3,6.6,2.25,-189.67520678574422
4.9,5.9,2.72,-168.67415791842825
11.2,6.7,2.25,-225.64253328696515
4.0,6.8,2.25,-185.96288618756194
5.5,6.9,1.24,-170.59431490306292
13.6,5.9,2.72,-243.54913276170976
7.4,6.8,2.25,-203.1802479417506
9.8,6.0,2.72,-206.5628102672766
2.6,6.1,2.72,-165.2039169885718
6.0,6.1,2.72,-182.66122426938983
12.3,6.9,2.25,-244.51310654225557
5.1,7.0,2.25,-197.2072796981668
8.5,7.0,2.25,-217.97433238489398
10.9,6.2,2.72,-224.83010824864357
8.9,6.9,1.24,-174.80556629934213
3.7,6.3,2.72,-176.92956715082775
7.1,6.3,2.72,-198.20438321616965
12.0,6.4,2.72,-246.05616274226983
13.8,7.0,1.24,-186.51721455220064
4.8,6.5,2.72,-190.3740334351646
8.2,6.5,2.72,-214.65694907186773
10.8,6.8,2.53,-241.5554352882384
13.1,6.6,2.72,-266.26541923471797
9.3,6.7,2.72,-232.7320911248696
2.1,6.8,2.72,-185.85364305900637
6.6,7.1,1.24,-176.88102756507874
10.0,7.1,1.24,-181.88415670560073
2.8,7.2,1.24,-175.72403013281286
3.6,6.9,2.53,-193.28644610060636
7.0,6.9,2.53,-214.17298791507503
11.1,7.3,1.24,-189.06800073483433
10.4,6.9,2.72,-251.25605243935007
11.9,7.0,2.53,-259.80373823759817
3.2,7.0,2.72,-198.44998871747683
11.5,7.1,2.72,-269.9008732216124
3.9,7.4,1.24,-182.21361675114974
4.7,7.1,2.53,-206.26371919088115
12.2,7.5,1.24,-196.61121061844926
13.4,7.1,2.25,-261.56335264665665
5.0,7.6,1.24,-188.26431161783486
13.3,7.7,1.24,-205.52566170852165
6.1,7.8,1.24,-194.64392802535542
8.1,7.1,2.53,-230.69382217896074
4.3,7.2,2.72,-212.3482277579703
6.2,7.2,2.25,-210.3882433374871
13.0,7.2,2.53,-278.17800127162246
9.5,7.8,1.24,-199.97285863438626
9.6,7.2,2.25,-233.1935928444152
5.8,7.3,2.53,-220.57810220153817
9.2,7.3,2.53,-247.32331965986162
2.0,7.4,2.53,-201.96349698216048
2.4,7.3,2.25,-195.35347751092542
7.3,7.4,2.25,-224.3373741090223
2.3,7.9,1.24,-192.97914368828862
6.9,7.5,2.53,-236.3572662946341
10.7,7.4,2.25,-249.62612878296736
3.5,7.5,2.25,-206.1702521534009
8.4,7.6,2.25,-238.98823871187534
11.8,7.6,2.25,-265.9455149250866
10.3,7.5,2.53,-264.4123206911573
7.2,8.0,1.24,-201.79927600014096
7.7,7.2,2.72,-239.19270497332678
12.6,7.3,2.72,-289.0963603549022
3.1,7.6,2.53,-214.3629180061418
8.0,7.7,2.53,-252.29513786886702
11.4,7.7,2.53,-281.2362366586819
4.6,7.7,2.25,-218.14128625977256
12.9,7.8,2.25,-282.87555462809274
4.2,7.8,2.53,-227.69375745953107
9.1,7.9,2.53,-268.70007064243896
10.6,8.0,1.24,-207.6488635977244
5.7,7.9,2.25,-231.558441921051
12.5,7.9,2.53,-298.7220619692312
5.3,8.0,2.53,-242.31374525013933
5.4,7.4,2.72,-227.83826548209197
10.2,8.1,2.53,-284.83632558315685
14.0,8.0,2.25,-301.0463269049117
3.4,8.1,1.24,-199.3560249052523
6.8,8.1,2.25,-245.42449400313745
8.3,8.2,1.24,-208.96839970875035
13.6,8.1,2.53,-318.6416428085354
8.8,7.4,2.72,-256.6106769234427
3.0,8.2,2.25,-225.85510374830477
7.9,8.3,2.25,-260.007670995093
11.3,8.3,2.25,-285.9973088633854
11.7,8.2,1.24,-215.35220248381387
13.7,7.5,2.72,-309.37752981930987
6.5,7.6,2.72,-244.08364535076163
6.4,8.2,2.53,-257.40558199513345
4.1,8.4,2.25,-238.55164671385546
9.0,8.5,2.25,-274.7100588301521
12.4,8.5,2.25,-301.5141873805201
4.5,8.3,1.24,-205.7266005645655
9.4,8.4,1.24,-216.11830002599697
12.8,8.4,1.24,-224.32180786438812
5.2,8.6,2.25,-251.5633024631859
9.9,7.6,2.72,-273.6975851594663
10.1,8.7,2.25,-289.41344148745367
5.6,8.5,1.24,-212.40858744459408
2.7,7.7,2.72,-219.59129108089206
2.6,8.3,2.53,-234.7853380048016
7.6,7.8,2.72,-260.9817920112271
