a,h,e,angle
4.3,3.6,1.9,80.43319815798557
9.4,6.9,2.0,-58.63627853692116
5.1,19.4,2.0,-76.52824592330946
8.7,10.2,2.4,175.57458240998346
13.4,12.2,2.1,99.99712673316228
10.6,9.4,2.6,178.25701621162102
10.1,19.6,2.6,159.01399296038264
13.6,7.4,2.0,-111.59689575640786
11.3,19.3,1.4,-49.86537077215568
9.3,6.8,1.3,-15.745855889662844
13.4,19.5,2.1,169.74146693796146
2.6,12.7,2.1,146.6893063399924
5.1,18.7,1.5,-6.828919819864088
13.9,7.9,1.3,-64.155493386881
11.3,14.1,2.7,-30.99779238589612
7.6,12.2,2.3,126.10664773236468
10.2,9.6,1.5,-120.74516452843362
6.8,18.3,2.2,-78.14427648029208
6.4,4.6,1.5,51.527826292545456
4.5,4.6,2.3,44.87488167146853
6.4,9.7,1.7,-119.6877821882252
2.2,15.8,1.3,101.20148556380578
7.6,7.8,2.6,-108.6773716629498
5.8,18.3,1.5,1.8903842284383825
13.8,4.8,1.7,20.098859557272863
8.6,15.2,1.8,56.27120813198529
12.2,17.0,1.5,4.37684769395096
6.8,5.9,2.0,-4.521210089730553
7.5,6.2,2.4,-34.92543798175103
12.0,2.1,1.5,122.84653862235612
14.0,3.6,2.3,52.151618734804266
8.2,6.6,1.3,-7.3913720083296095
13.2,3.9,1.6,62.46265326864457
10.9,8.4,2.5,-150.0641110865839
8.7,19.7,2.3,-158.8302236216667
13.7,5.4,1.4,14.176453482580234
11.9,15.8,1.8,3.743537836029239
13.6,8.9,1.4,-105.67657770220978
9.7,15.4,1.8,41.10645306456091
6.3,19.7,2.7,-161.93728958901357
7.6,15.1,2.6,-3.0355912315891675
13.0,16.7,2.2,-114.76840222472754
2.1,9.0,2.5,-105.51252712500788
3.8,18.9,2.0,-47.96882398778625
7.6,7.1,2.1,-58.87317263936074
8.4,17.8,2.1,-71.13980881870539
2.6,13.4,2.6,102.15719877550656
9.9,9.8,2.7,166.7992691390135
12.7,14.8,2.0,5.888122077894893
3.2,18.0,1.9,-7.5368386413982655
7.1,19.5,1.9,-91.0191735438926
