row,col,phase,phase_loss,weight,score,a,h,e
0.0,0.0,-229.8936181157742,0.006227979055438482,0.96343,0.006227979055438482,3.8,7.8,2.72
0.0,1.0,-289.77495603177886,0.0014269790444814134,0.9008323333333331,0.0014269790444814134,4.6,9.8,2.25
0.0,2.0,-343.9541141322697,0.0005924037540694371,1.717125,0.0005924037540694371,8.1,10.0,2.72
0.0,3.0,-392.2460124323197,0.001139385444673735,1.3454925041666665,0.001139385444673735,5.9,12.7,2.53
0.0,4.0,-434.4788793118596,0.0012537447810245794,0.3868541999999999,0.0012537447810245794,3.8,17.4,1.24
0.0,5.0,-470.4969824535037,0.005222199597369581,0.6567549749999999,0.005222199597369581,10.1,18.3,1.24
0.0,6.0,-500.1632680261673,0.0011301671920591616,2.149517708333333,0.0011301671920591616,9.5,16.1,2.25
0.0,7.0,-523.3618137081348,0.0008571903026677319,1.7839767375,0.0008571903026677319,5.7,17.1,2.53
0.0,8.0,-540.0,0.00244140625,2.1285337499999994,0.00244140625,3.3,17.9,2.72
0.0,9.0,-550.0103092893069,0.010736535400610592,1.9530758333333331,0.010736535400610592,6.4,18.5,2.25
0.0,10.0,-553.3516735789462,0.004344487460002711,2.2008944999999995,0.004344487460002711,8.4,17.9,2.25
0.0,11.0,-550.0103092893069,0.010736535400610592,1.9530758333333331,0.010736535400610592,6.4,18.5,2.25
0.0,12.0,-540.0,0.00244140625,2.1285337499999994,0.00244140625,3.3,17.9,2.72
0.0,13.0,-523.3618137081357,0.0008571903017582372,1.7839767375,0.0008571903017582372,5.7,17.1,2.53
0.0,14.0,-500.1632680261673,0.0011301671920591616,2.149517708333333,0.0011301671920591616,9.5,16.1,2.25
0.0,15.0,-470.49698245350464,0.005222199598335919,0.6567549749999999,0.005222199598335919,10.1,18.3,1.24
0.0,16.0,-434.4788793118605,0.0012537447801150847,0.3868541999999999,0.0012537447801150847,3.8,17.4,1.24
0.0,17.0,-392.2460124323197,0.001139385444673735,1.3454925041666665,0.001139385444673735,5.9,12.7,2.53
0.0,18.0,-343.9541141322716,0.0005924037560021134,1.717125,0.0005924037560021134,8.1,10.0,2.72
0.0,19.0,-289.7749560317807,0.0014269790463004028,0.9008323333333331,0.0014269790463004028,4.6,9.8,2.25
0.0,20.0,-229.8936181157751,0.0062279790563479764,0.96343,0.0062279790563479764,3.8,7.8,2.72
1.0,0.0,-289.77495603177886,0.0014269790444814134,0.9008323333333331,0.0014269790444814134,4.6,9.8,2.25
1.0,1.0,-350.3663499220065,0.0006544725247294991,1.5812320125,0.0006544725247294991,11.1,10.1,2.53
1.0,2.0,-405.2027068158204,0.004568574804579839,1.4201456499999998,0.004568574804579839,6.1,13.2,2.53
1.0,3.0,-454.0926009477289,0.009593135228897154,0.39852540000000003,0.009593135228897154,3.6,18.2,1.24
1.0,4.0,-496.8581501245544,0.00012624263308680383,2.010298333333333,0.00012624263308680383,3.7,16.4,2.72
1.0,5.0,-533.3378995455205,0.0065218411982641555,2.2468733875,0.0065218411982641555,9.7,15.9,2.53
1.0,6.0,-563.389616684015,0.001799301202481729,1.62087375,0.001799301202481729,3.0,19.1,2.53
1.0,7.0,-586.8928954364619,0.00847175103808695,3.51542625,0.00847175103808695,11.7,15.7,2.72
1.0,8.0,-603.7514659892768,0.001341627910733223,1.9929069958333334,0.001341627910733223,5.3,19.7,2.53
1.0,9.0,-613.8951118890009,0.0010078850946229068,2.2474656,0.0010078850946229068,7.2,19.2,2.53
1.0,10.0,-617.2811079888879,0.008381757205825124,3.6682249999999996,0.008381757205825124,11.6,16.5,2.72
1.0,11.0,-613.8951118890009,0.0010078850946229068,2.2474656,0.0010078850946229068,7.2,19.2,2.53
1.0,12.0,-603.7514659892768,0.001341627910733223,1.9929069958333334,0.001341627910733223,5.3,19.7,2.53
1.0,13.0,-586.8928954364619,0.00847175103808695,3.51542625,0.00847175103808695,11.7,15.7,2.72
1.0,14.0,-563.389616684015,0.001799301202481729,1.62087375,0.001799301202481729,3.0,19.1,2.53
1.0,15.0,-533.3378995455214,0.006521841197354661,2.2468733875,0.006521841197354661,9.7,15.9,2.53
1.0,16.0,-496.8581501245562,0.00012624263132465785,2.010298333333333,0.00012624263132465785,3.7,16.4,2.72
