a (Top Surface Length),h (Height),e,phase
5.1,2.6,2.25,-64.231145814021
11.6,2.9,2.53,-78.4230893283762
8.0,2.6,2.25,-65.16118358124695
12.1,2.9,2.72,-80.51738455216285
2.5,3.1,1.24,-74.59371062096638
2.0,3.0,2.72,-74.17611335697362
10.9,2.6,2.25,-66.85348573798314
4.9,3.0,2.72,-75.82226345795227
5.4,3.1,1.24,-75.21094332606548
4.4,3.0,2.53,-75.08745289736906
5.9,3.1,1.24,-74.75085415590439
8.8,3.1,1.24,-75.63619708067328
11.7,3.1,1.24,-75.84027120129443
7.8,3.0,2.53,-77.35503149420934
13.8,2.6,2.25,-69.57792038792036
3.7,2.7,2.25,-66.48784713238783
4.5,3.2,1.24,-77.42126874081715
8.3,3.0,2.72,-78.75872891416009
10.7,3.0,2.53,-80.49680528824679
11.2,3.0,2.72,-82.66119977538636
4.0,3.1,2.72,-78.07946689633212
7.9,3.2,1.24,-77.97686189430041
7.1,2.7,2.25,-67.70790554303441
10.0,2.7,2.25,-69.31945663020112
13.6,3.0,2.53,-85.72436441794667
12.9,2.7,2.25,-71.75182724981215
2.8,2.8,2.25,-68.62073970235254
3.5,3.1,2.53,-77.27080704169668
10.8,3.2,1.24,-78.47846115050481
7.4,3.1,2.72,-80.8011733300853
10.3,3.1,2.72,-84.77059510349412
13.2,3.1,2.72,-90.45184734700624
13.7,3.2,1.24,-79.08563960456807
3.1,3.2,2.72,-80.08066314457447
6.9,3.1,2.53,-79.45207074336837
6.2,2.8,2.25,-69.91879598267546
9.8,3.1,2.53,-82.69613360902586
6.0,3.2,2.72,-82.25128604126776
6.5,3.2,2.72,-82.64839768107167
9.4,3.2,2.72,-86.55284809328248
12.7,3.1,2.53,-87.40831830784371
3.6,3.3,1.24,-79.433191647072
9.1,2.8,2.25,-71.48200913681809
7.0,3.3,1.24,-79.61095558958813
12.3,3.2,2.72,-92.2872239683807
12.0,2.8,2.25,-73.90782842875169
4.8,2.9,2.25,-71.88644279271176
2.2,3.3,2.72,-82.14717052827766
2.6,3.2,2.53,-79.3762556548591
5.1,3.3,2.72,-84.45547530654488
5.5,3.2,2.53,-81.24423035912046
8.5,3.3,2.72,-88.68296781672946
8.9,3.2,2.53,-84.8961659373068
11.8,3.2,2.53,-89.39226781524421
9.9,3.3,1.24,-80.82904595489691
5.3,2.9,2.25,-72.27014781147186
11.4,3.3,2.72,-94.32357002232008
4.6,3.3,2.53,-83.41316015067368
4.2,3.4,2.72,-86.62391022102972
8.2,2.9,2.25,-73.62944895935173
12.8,3.3,1.24,-81.89109813558858
2.7,3.4,1.24,-81.83257209504247
11.1,2.9,2.25,-76.19730163945013
8.0,3.3,2.53,-86.9557156623472
7.6,3.4,2.72,-90.64554238840748
10.5,3.4,2.72,-95.76143156331602
13.4,3.4,2.72,-103.69662338024568
3.3,3.5,2.72,-88.38521447755308
6.2,3.5,2.72,-91.48257369453
9.6,3.5,2.72,-97.54588634633444
5.6,3.4,1.24,-82.00938879665907
9.0,3.4,1.24,-82.29532435171812
14.0,2.9,2.25,-79.8841665537432
12.5,3.5,2.72,-105.2020273853898
3.9,3.0,2.25,-74.28613845753804
10.9,3.3,2.53,-91.29790739507268
7.3,3.0,2.25,-76.13889723965399
2.4,3.6,2.72,-90.5532792187674
11.9,3.4,1.24,-84.18310581848954
4.7,3.5,1.24,-84.94616009108545
13.8,3.3,2.53,-98.55916531544035
8.1,3.5,1.24,-84.94365692580556
10.2,3.0,2.25,-78.28032195961072
3.7,3.4,2.53,-85.50084622062873
13.1,3.0,2.25,-81.82901780464687
5.3,3.6,2.72,-93.65116984080368
11.0,3.5,1.24,-85.74785972009362
3.0,3.1,2.25,-76.39735412270927
8.7,3.6,2.72,-99.18289972383944
6.6,3.4,2.53,-88.00516788311747
11.6,3.6,2.72,-106.54940353663557
7.1,3.4,2.53,-88.53390446441658
6.4,3.1,2.25,-77.9762616487108
9.3,3.1,2.25,-80.26595277157982
4.4,3.7,2.72,-95.42699945633272
10.0,3.4,2.53,-93.09600969047084
13.9,3.5,1.24,-87.58541375815845
12.2,3.1,2.25,-83.89919771650388
2.1,3.2,2.25,-78.66856373990613
3.8,3.6,1.24,-87.38107547294439
5.0,3.2,2.25,-79.95728698206084
8.4,3.2,2.25,-82.74030344697097
7.3,3.7,2.72,-99.81398515165296
6.7,3.6,1.24,-87.58862378922186
12.9,3.4,2.53,-99.36283463065534
2.8,3.5,2.53,-87.52227117347577
10.7,3.7,2.72,-107.9822008641576
13.6,3.7,2.72,-120.36536239898298
11.3,3.2,2.25,-86.01713950525803
3.5,3.8,2.72,-97.1031633766378
5.7,3.5,2.53,-90.22867827588335
4.1,3.3,2.25,-82.22153286490366
9.1,3.5,2.53,-94.70105767206746
7.5,3.3,2.25,-84.6955923159913
10.1,3.6,1.24,-88.01304599164756
13.0,3.6,1.24,-89.2591381261589
12.0,3.5,2.53,-100.94738123679818
6.4,3.8,2.72,-101.51976152188476
2.9,3.7,1.24,-89.70916015572011
9.8,3.8,2.72,-109.29366664732976
10.4,3.3,2.25,-88.03137817745677
5.8,3.7,1.24,-90.05170575776138
13.3,3.3,2.25,-92.83463706580557
3.2,3.4,2.25,-84.44327968907137
6.1,3.4,2.25,-86.09612315249605
12.7,3.8,2.72,-119.21436495532824
9.2,3.7,1.24,-90.50423764108908
4.8,3.6,2.53,-91.94585122173515
8.2,3.6,2.53,-96.66980469335712
9.5,3.4,2.25,-89.76480252042629
12.1,3.7,1.24,-91.99056188025334
12.4,3.4,2.25,-94.62876691674194
2.0,3.8,1.24,-91.4190360460248
11.1,3.6,2.53,-102.68633198526632
14.0,3.6,2.53,-111.63549239849
2.6,3.9,2.72,-98.83112141161816
4.9,3.8,1.24,-92.04113333454966
2.3,3.5,2.25,-86.57421539032062
