a (Top Surface Length),h (Height),e,phase
6.9,6.0,2.72,-184.1408629433119
7.4,6.1,1.24,-151.33334168982694
10.3,6.1,1.24,-154.890570788547
4.4,5.9,2.53,-163.09249518651777
3.9,5.9,2.25,-156.74625588839928
13.2,6.1,1.24,-159.1966699445452
6.8,5.9,2.25,-167.6844036730014
7.3,5.9,2.53,-177.3584506523615
9.7,5.9,2.25,-182.70460303878698
9.8,6.0,2.72,-206.55330565311897
12.7,6.0,2.72,-234.95452035210806
10.2,5.9,2.53,-197.2259094296358
12.6,5.9,2.25,-203.28931151257223
2.5,6.0,2.25,-156.18928409469189
2.6,6.1,2.72,-165.50473532087935
6.0,6.1,2.72,-182.66122426938983
8.9,6.1,2.72,-203.34629585428146
11.8,6.1,2.72,-229.74782690846442
5.9,6.0,2.25,-167.06003807528865
8.8,6.0,2.25,-181.53352265440972
11.7,6.0,2.25,-200.15568144782995
13.1,5.9,2.53,-223.53798915464856
5.0,6.1,2.25,-167.02954610904365
5.1,6.2,2.72,-181.02131965169846
3.1,6.2,1.24,-151.00977113135536
7.9,6.1,2.25,-180.20075673469947
6.5,6.2,1.24,-153.2863220612365
10.8,6.1,2.25,-198.32324357189054
9.4,6.2,1.24,-156.4469329444831
12.3,6.2,1.24,-159.99242882393355
3.0,6.0,2.53,-161.39721913756918
6.4,6.0,2.53,-175.9708837859402
13.7,6.1,2.25,-223.44684035539242
2.2,6.3,1.24,-153.84699732262465
9.3,6.0,2.53,-194.93768730379233
3.6,6.2,2.25,-165.05075150054415
8.0,6.2,2.72,-200.63358799551335
12.2,6.0,2.53,-219.6238094700368
5.6,6.3,1.24,-154.83438103472562
8.5,6.3,1.24,-157.8789946006106
11.4,6.3,1.24,-161.5418618740372
4.2,6.4,1.24,-156.7828253277378
10.9,6.2,2.72,-224.96792661701153
7.0,6.2,2.25,-179.26778274350536
7.6,6.4,1.24,-159.73336302783363
10.5,6.4,1.24,-163.9496060167504
13.4,6.4,1.24,-168.1187949269016
2.1,6.1,2.53,-160.9829123310456
5.5,6.1,2.53,-174.9417922074755
3.3,6.5,1.24,-158.24675923358646
8.4,6.1,2.53,-192.42178777415495
11.3,6.1,2.53,-215.553718145546
6.7,6.5,1.24,-161.07160694623312
9.9,6.2,2.25,-195.94115076782475
13.8,6.2,2.72,-261.0185201792211
12.8,6.2,2.25,-218.49753749041932
3.7,6.3,2.72,-176.58643855203675
7.1,6.3,2.72,-197.91604092769683
4.1,6.2,2.53,-171.76257350346066
10.0,6.3,2.72,-221.62220345991514
4.6,6.2,2.53,-174.0654766399537
9.6,6.5,1.24,-164.846639030611
12.5,6.5,1.24,-168.8045129618976
2.7,6.3,2.25,-165.67833496772172
12.9,6.3,2.72,-250.97089851622792
7.5,6.2,2.53,-190.30571454154267
2.4,6.6,1.24,-160.67516874006293
2.8,6.4,2.72,-176.2118626381378
6.1,6.3,2.25,-178.44381677681454
6.2,6.4,2.72,-195.2706002023424
9.0,6.3,2.25,-194.30224960654556
11.9,6.3,2.25,-214.5169900718605
9.1,6.4,2.72,-218.08107222616752
12.0,6.4,2.72,-246.12610974175493
10.4,6.2,2.53,-212.03720887560394
4.7,6.4,2.25,-175.4435688260521
5.2,6.4,2.25,-177.77756306004972
8.1,6.4,2.25,-192.75532785457722
13.3,6.2,2.53,-239.8615094791636
4.8,6.5,2.72,-190.3740334351646
5.3,6.5,2.72,-193.22188186611857
11.0,6.4,2.25,-212.2351094786977
3.2,6.3,2.53,-171.67262950487662
13.9,6.4,2.25,-239.07611336816467
3.8,6.5,2.25,-175.55283489714023
8.2,6.5,2.72,-214.65694907186773
11.1,6.5,2.72,-241.32147760166066
5.8,6.6,1.24,-162.93188637717847
8.7,6.6,1.24,-166.4191950481959
7.2,6.5,2.25,-191.25217242259075
11.6,6.6,1.24,-171.11392964359015
10.1,6.5,2.25,-209.425117767417
6.6,6.3,2.53,-188.74561969450212
9.5,6.3,2.53,-209.06624021509947
12.4,6.3,2.53,-235.2013698615487
4.4,6.7,1.24,-164.2371645881939
7.8,6.7,1.24,-167.71071266635423
2.3,6.4,2.53,-171.49176655198977
14.0,6.5,2.72,-274.8886429077828
5.7,6.4,2.53,-187.0268288291098
8.6,6.4,2.53,-206.5881334972534
3.9,6.6,2.72,-188.5597666750309
10.7,6.7,1.24,-171.62441010881474
11.5,6.4,2.53,-230.861640979176
13.6,6.7,1.24,-177.55338566656556
13.0,6.5,2.25,-233.32997809986472
2.9,6.6,2.25,-175.31664491402984
6.3,6.6,2.25,-189.67520678574422
3.5,6.8,1.24,-165.9706249730054
4.3,6.5,2.53,-182.74907026580138
7.7,6.5,2.53,-203.7009561260386
9.2,6.6,2.25,-207.2846117139013
7.3,6.6,2.72,-211.80344028031914
12.1,6.6,2.25,-229.8239442903387
2.0,6.7,2.25,-175.1811441884943
6.9,6.8,1.24,-169.30864342187405
10.2,6.6,2.72,-236.59156643254116
10.6,6.5,2.53,-227.1805776005293
9.8,6.8,1.24,-173.36513408921948
4.9,6.7,2.25,-186.27513070666038
13.5,6.5,2.53,-259.0458345563759
13.1,6.6,2.72,-266.26541923471797
3.4,6.6,2.53,-181.76039914576887
3.0,6.7,2.72,-186.98945666070466
8.3,6.7,2.25,-205.19320565600935
12.7,6.8,1.24,-178.41484787208182
11.2,6.7,2.25,-225.64253328696515
4.0,6.8,2.25,-185.8376683315283
2.6,6.9,1.24,-167.92501007087435
7.4,6.8,2.25,-203.1802479417506
6.8,6.6,2.53,-201.52769659776254
9.7,6.6,2.53,-223.34106057384935
12.6,6.6,2.53,-250.59748405043786
5.5,6.9,1.24,-170.33427144901816
2.5,6.7,2.53,-181.45579252626905
6.4,6.7,2.72,-208.57171440219463
9.3,6.7,2.72,-232.74190252731324
5.4,6.7,2.53,-196.12059234485724
5.9,6.7,2.53,-199.16133428405823
12.2,6.7,2.72,-261.1577500152376
2.1,6.8,2.72,-185.85499521190698
8.8,6.7,2.53,-220.3376116189653
10.3,6.8,2.25,-223.06232962585037
8.9,6.9,1.24,-174.76601173416833
5.0,6.8,2.72,-202.20478892356834
8.4,6.8,2.72,-229.16865502690396
11.3,6.8,2.72,-255.8944759333461
11.7,6.7,2.53,-244.95928525901556
11.8,6.9,1.24,-179.04124056459915
4.6,7.0,1.24,-172.33597277311657
13.2,6.8,2.25,-247.6916977331377
4.5,6.8,2.53,-194.20665651380776
4.1,6.9,2.72,-200.6351330306701
3.1,6.9,2.25,-185.63693843379502
7.5,6.9,2.72,-225.5322761917982
8.0,7.0,1.24,-176.1588976237235
10.9,7.0,1.24,-180.3806163186332
6.0,6.9,2.25,-198.5645484541362
6.5,6.9,2.25,-201.51425570962007
10.4,6.9,2.72,-251.2477856722913
13.8,7.0,1.24,-186.51721455220064
7.9,6.8,2.53,-217.17499098739293
10.8,6.8,2.53,-241.56363659987738
3.7,7.1,1.24,-173.75391899016748
13.7,6.8,2.53,-273.6149443733987
9.4,6.9,2.25,-220.2566956279335
13.3,6.9,2.72,-280.92635133739867
3.6,6.9,2.53,-193.28767775004448
7.0,6.9,2.53,-214.17298791507503
12.3,6.9,2.25,-244.5120330762764
2.2,7.0,2.25,-185.2201331886153
6.6,7.1,1.24,-177.06779766327963
9.9,6.9,2.53,-237.5164454217045
3.2,7.0,2.72,-198.44998871747683
7.1,7.1,1.24,-177.54740457480173
6.1,7.0,2.72,-218.11029123104865
5.1,7.0,2.25,-197.20617491376927
10.0,7.1,1.24,-181.84966029047322
12.9,7.1,1.24,-186.58925039837774
9.5,7.0,2.72,-246.89387405804717
12.4,7.0,2.72,-274.55426933297093
8.5,7.0,2.25,-217.96000709697165
2.3,7.1,2.72,-197.22517910349902
12.8,6.9,2.53,-265.65997254628945
11.4,7.0,2.25,-239.86844810207452
5.2,7.1,2.72,-215.19498310568437
4.2,7.1,2.25,-196.51223460641998
7.6,7.1,2.25,-215.43777147317726
10.5,7.1,2.25,-236.67513518468496
2.7,7.0,2.53,-192.05579740969887
13.4,7.1,2.25,-261.56335264665665
3.3,7.2,2.25,-195.7600566086233
8.6,7.1,2.72,-243.0537551480445
2.8,7.2,1.24,-175.72403013281286
11.5,7.1,2.72,-269.9008732216124
5.7,7.2,1.24,-178.38616001094783
9.1,7.2,1.24,-182.87570358520554
4.3,7.2,2.72,-212.3475566072583
5.6,7.0,2.53,-208.23866903771406
12.0,7.2,1.24,-188.0823477161806
4.8,7.3,1.24,-180.21316243775638
9.0,7.0,2.53,-233.8001873142358
11.9,7.0,2.53,-259.80373823759817
4.7,7.1,2.53,-206.26371919088115
7.2,7.2,2.72,-234.57388243732817
8.2,7.3,1.24,-184.474956102396
8.1,7.1,2.53,-230.4616514813298
6.2,7.2,2.25,-210.3882433374871
11.1,7.3,1.24,-189.06801284278276
7.7,7.2,2.72,-239.01143447919134
10.6,7.2,2.72,-265.4324918647194
13.5,7.2,2.72,-297.86478293731415
9.6,7.2,2.25,-233.1740268364495
12.5,7.2,2.25,-256.9609198410341
2.4,7.3,2.25,-195.43312125739752
3.4,7.3,2.72,-210.01824605280876
14.0,7.3,1.24,-194.84963113309223
6.3,7.3,2.72,-230.98424726703817
5.3,7.3,2.25,-208.7187305131414
9.7,7.3,2.72,-260.66383006981744
3.9,7.4,1.24,-182.21562389475704
6.8,7.4,1.24,-185.01719737644987
12.6,7.3,2.72,-289.0963603549022
8.7,7.3,2.25,-230.46474667613094
11.0,7.1,2.53,-255.5254151622068
10.2,7.4,1.24,-190.43091813484926
13.9,7.1,2.53,-286.891774355336
13.1,7.4,1.24,-195.72780161494074
3.8,7.2,2.53,-204.48998920122008
3.0,7.5,1.24,-183.29226615924813
11.6,7.3,2.25,-253.1990173554554
6.7,7.2,2.53,-223.4509991764751
10.1,7.2,2.53,-251.18316366003302
4.4,7.4,2.25,-207.16626253987386
13.0,7.2,2.53,-278.17800127162246
2.5,7.4,2.72,-208.40474146929634
2.9,7.3,2.53,-202.9646132032144
7.3,7.4,2.25,-224.31988622803652
5.8,7.3,2.53,-220.57222515089765
9.2,7.3,2.53,-247.31937423650004
10.7,7.4,2.25,-249.62612878296736
12.1,7.3,2.53,-274.642651053922
13.6,7.4,2.25,-277.9526525510614
5.9,7.5,1.24,-186.61270573335796
3.5,7.5,2.25,-206.06122044839205
5.4,7.4,2.72,-227.83826548209197
8.8,7.4,2.72,-256.6106769234427
2.0,7.4,2.53,-201.9663616677209
4.9,7.4,2.53,-218.18974421485393
11.7,7.4,2.72,-282.9909600759794
4.5,7.5,2.72,-224.70399863747113
6.4,7.5,2.25,-222.082424245067
9.8,7.5,2.25,-245.9518459325192
7.4,7.5,2.72,-248.09882006151255
12.7,7.5,2.25,-269.9917398136807
10.8,7.5,2.72,-278.621978565214
7.8,7.4,2.53,-239.70286299782472
13.7,7.5,2.72,-309.37752981930987
9.3,7.5,1.24,-191.41672247642373
8.3,7.4,2.53,-243.6937846803122
2.6,7.6,2.25,-205.50613968475727
11.2,7.4,2.53,-268.8785580323582
3.6,7.6,2.72,-222.09439941971704
5.5,7.6,2.25,-220.09078433295306
6.5,7.6,2.72,-244.08364535076163
4.0,7.5,2.53,-215.5569105275773
12.2,7.5,1.24,-196.61068362339054
8.4,7.6,2.25,-238.98823871187534
9.9,7.6,2.72,-273.6975851594663
12.8,7.6,2.72,-300.7862770887657
2.1,7.6,1.24,-185.4470071569308
6.9,7.5,2.53,-236.3545221914626
2.7,7.7,2.72,-219.58986306914505
8.9,7.6,2.25,-242.90259951303264
10.3,7.5,2.53,-264.4123206911573
5.6,7.7,2.72,-240.3385666188072
8.5,7.7,2.72,-264.95640861204856
11.8,7.6,2.25,-265.9455149250866
11.9,7.7,2.72,-295.0815694151811
5.0,7.6,1.24,-188.26431161783486
7.9,7.6,1.24,-191.9675453688491
4.6,7.7,2.25,-218.14128625977256
4.7,7.8,2.72,-236.98995842036538
13.2,7.5,2.53,-290.70135753337155
3.1,7.6,2.53,-214.3629180061418
6.0,7.6,2.53,-233.14496897375375
7.5,7.7,2.25,-236.31112963439617
7.6,7.8,2.72,-260.9817920112271
11.0,7.8,2.72,-290.9708606349814
10.9,7.7,2.25,-261.96170310063036
13.9,7.8,2.72,-318.94549286659014
11.3,7.6,1.24,-197.86676783814283
9.4,7.6,2.53,-260.3219272434576
3.8,7.9,2.72,-233.81342183230203
4.1,7.7,1.24,-189.62976811915988
7.0,7.7,1.24,-193.3333159952705
13.8,7.7,2.25,-290.6950944900555
12.3,7.6,2.53,-286.7903060287575
3.7,7.8,2.25,-216.6452565527448
10.4,7.7,1.24,-199.15579747616633
6.6,7.8,2.25,-233.90485099526896
13.3,7.7,1.24,-205.5259550625421
10.0,7.8,2.25,-258.3373441613126
6.7,7.9,2.72,-256.9081133950204
2.2,7.7,2.53,-212.71698797906754
5.1,7.7,2.53,-229.8951342649632
12.9,7.8,2.25,-282.87555462809274
9.6,7.9,2.72,-281.87642831231636
10.1,7.9,2.72,-286.1519831555949
3.2,7.8,1.24,-191.37016859124296
6.1,7.8,1.24,-194.8276209089469
8.0,7.7,2.53,-252.29513786886702
11.4,7.7,2.53,-281.2362366586819
9.0,7.8,1.24,-199.2769918745372
4.2,7.8,2.53,-227.69360293720536
9.5,7.8,1.24,-199.9748904296687
7.1,7.8,2.53,-248.705674561875
10.5,7.8,2.53,-277.3422853172384
13.4,7.8,2.53,-303.0575522102801
3.3,7.9,2.53,-225.51085895298476
2.8,7.9,2.25,-215.58111439768075
13.0,7.9,2.72,-312.1272342044403
5.7,7.9,2.25,-231.5566930078541
12.4,7.8,1.24,-206.4937140922002
6.2,7.9,2.53,-245.44606869408824
2.3,7.9,1.24,-192.9717400053569
8.6,7.9,2.25,-251.40612388109815
9.1,7.9,2.53,-268.70007064243896
12.0,7.9,2.25,-279.0304356208775
12.5,7.9,2.53,-298.7220619692312
4.8,8.0,2.25,-229.4287057484271
2.4,8.0,2.53,-223.64513472037092
5.3,8.0,2.53,-242.31374525013933
7.7,8.0,2.25,-248.20780302449572
8.2,8.0,2.53,-264.7633196280276
2.9,8.0,2.72,-231.0977769040092
5.2,7.9,1.24,-196.08702142590153
5.8,8.0,2.72,-252.9966161149676
8.1,7.9,1.24,-200.33579485511106
11.6,8.0,2.53,-293.4341694831074
11.5,7.9,1.24,-206.6306545691082
4.3,8.0,1.24,-197.7157215067194
8.7,8.0,2.72,-277.57862695884126
12.1,8.0,2.72,-307.9493969616062
4.4,8.1,2.53,-239.04052455201676
7.3,8.1,2.53,-261.1070032115043
7.2,8.0,1.24,-201.79927600014096
10.6,8.0,1.24,-207.6488635977244
13.5,8.0,1.24,-215.0428990184602
2.0,8.1,2.72,-229.4255046203335
11.1,8.0,2.25,-274.35067468435784
10.2,8.1,2.53,-284.8158433666187
10.7,8.1,2.53,-289.3379566323244
4.9,8.1,2.72,-249.51789719881177
14.0,8.0,2.25,-301.0463269049117
13.6,8.1,2.53,-318.6416428085354
7.8,8.1,2.72,-273.6461320168438
3.4,8.1,1.24,-199.3560249052523
3.9,8.1,2.25,-227.55725242791243
11.2,8.1,2.72,-302.46006777267127
4.0,8.2,2.72,-245.97164432369397
6.8,8.1,2.25,-245.42449400313745
6.9,8.2,2.72,-269.5968766349424
3.5,8.2,2.53,-236.54176157364373
9.8,8.2,2.72,-293.8479247181432
9.7,8.1,2.25,-266.53780125512003
6.3,8.1,1.24,-203.03442056525208
13.2,8.2,2.72,-322.7130742161944
9.2,8.1,1.24,-207.5819560812179
3.1,8.3,2.72,-243.1193488189429
12.6,8.1,1.24,-214.5660252563172
6.0,8.3,2.72,-265.56666941250865
8.9,8.3,2.72,-289.76046405730557
2.5,8.2,1.24,-200.87594984056594
13.1,8.1,2.25,-294.35851820808523
12.3,8.3,2.72,-318.6474266581671
5.4,8.2,1.24,-204.20303564318448
6.4,8.2,2.53,-257.4306064245609
8.3,8.2,1.24,-208.76162401677098
3.0,8.2,2.25,-225.86925393610684
9.3,8.2,2.53,-280.83297018218934
5.9,8.2,2.25,-242.74986435648458
11.7,8.2,1.24,-215.3522298848672
8.8,8.2,2.25,-263.1565595768361
2.2,8.4,2.72,-240.2616855531634
4.5,8.3,1.24,-205.7266005645655
12.2,8.2,2.25,-290.46297038503087
5.1,8.4,2.72,-261.44201358674053
12.7,8.2,2.53,-309.78956404202745
2.1,8.3,2.25,-225.02639648427444
7.4,8.3,1.24,-210.03525506998568
8.0,8.4,2.72,-285.51352298562637
5.0,8.3,2.25,-240.5068882622121
7.9,8.3,2.25,-260.007670995093
10.3,8.3,1.24,-215.30739002242993
13.7,8.3,1.24,-223.899056879966
10.9,8.4,2.72,-309.33817048852103
3.6,8.4,1.24,-207.02325350661206
4.2,8.5,2.72,-257.9804586809636
7.1,8.5,2.72,-281.38945052525384
10.0,8.5,2.72,-305.215371673109
13.4,8.5,2.72,-335.7925515892917
10.8,8.3,2.25,-282.18968178376605
3.3,8.6,2.72,-254.8411123791783
6.2,8.6,2.72,-277.72941841878134
2.6,8.3,2.53,-234.84758624662152
6.5,8.4,1.24,-211.2343183804386
9.4,8.4,1.24,-216.32673758618446
5.5,8.3,2.53,-254.07781901401384
9.1,8.6,2.72,-301.16714436883046
12.0,8.6,2.72,-325.35386063908095
12.5,8.6,2.72,-328.64685953159096
8.4,8.3,2.53,-276.90681764422555
12.8,8.4,1.24,-224.32056389320883
2.7,8.5,1.24,-208.71575274898922
11.8,8.3,2.53,-304.6847774240936
2.4,8.7,2.72,-252.0345499371412
5.6,8.5,1.24,-212.228496564648
4.6,8.4,2.53,-250.95463921496338
8.5,8.5,1.24,-217.37213569335125
5.3,8.7,2.72,-273.90106579639496
11.3,8.3,2.25,-285.9973088633854
8.2,8.7,2.72,-297.1398836192193
7.5,8.4,2.53,-272.8538672784562
10.4,8.4,2.53,-296.53612024603746
13.8,8.4,2.53,-328.25691055767504
4.1,8.4,2.25,-238.5397383837677
7.0,8.4,2.25,-256.977379227066
9.9,8.4,2.25,-278.1571604770778
11.4,8.5,1.24,-223.89458180303996
13.3,8.4,2.25,-305.38500227101906
11.1,8.7,2.72,-320.1732510346348
4.4,8.8,2.72,-269.8772238330041
3.7,8.5,2.53,-247.80509721471074
6.6,8.5,2.53,-269.56670965730524
3.2,8.5,2.25,-236.49260731647337
6.1,8.5,2.25,-254.21612465213065
9.5,8.5,2.53,-292.3407300211604
12.9,8.5,2.53,-320.07648183627475
11.9,8.5,1.24,-225.11220077111625
7.3,8.8,2.72,-293.3802555321181
10.2,8.8,2.72,-316.3651052170347
9.0,8.5,2.25,-274.7100588301521
12.4,8.5,2.25,-301.5141873805201
13.6,8.8,2.72,-347.0315628444394
3.5,8.9,2.72,-266.41516258705116
2.3,8.6,2.25,-234.9747556944664
4.7,8.6,1.24,-213.58841794278982
5.2,8.6,2.25,-251.5633024631859
6.4,8.9,2.72,-289.4254444411698
9.3,8.9,2.72,-312.2083228607166
2.8,8.6,2.53,-245.6077182912266
8.1,8.6,2.25,-271.621993034017
11.0,8.6,2.25,-293.2961181475912
4.3,8.7,2.25,-249.17518641751587
7.6,8.6,1.24,-218.18919111088874
12.2,8.9,2.72,-335.0552726136864
5.7,8.6,2.53,-266.0870980263549
8.6,8.6,2.53,-288.6250702845276
2.6,9.0,2.72,-263.81255523183677
10.5,8.6,1.24,-223.94712484620686
7.2,8.7,2.25,-268.2004338642446
10.1,8.7,2.25,-289.41344148745367
13.9,8.6,1.24,-232.02363930384075
13.5,8.7,2.25,-319.00767713585384
3.4,8.8,2.25,-247.1001599898517
3.8,8.7,1.24,-215.15812428337748
5.5,9.0,2.72,-285.6695208818036
6.7,8.7,1.24,-219.50609511085858
11.5,8.6,2.53,-311.58664883476786
9.6,8.7,1.24,-224.91858900345176
13.0,8.7,1.24,-232.33998212777888
8.4,9.0,2.72,-308.4314331372362
2.9,8.8,1.24,-216.51136303421308
11.3,9.0,2.72,-330.37652009191737
4.8,8.7,2.53,-262.6171554452527
5.8,8.8,1.24,-220.47272226685212
7.7,8.7,2.53,-284.7352735490956
4.6,9.1,2.72,-281.76721808158544
6.3,8.8,2.25,-265.5549517807666
7.5,9.1,2.72,-304.72782194976895
9.2,8.8,2.25,-285.9267519878867
8.7,8.8,1.24,-225.5096312007999
11.6,8.8,1.24,-231.81618102049833
10.4,9.1,2.72,-326.59412646364706
13.3,9.1,2.72,-347.61898294637973
12.1,8.8,2.25,-308.4379464291284
2.5,8.9,2.25,-245.6874794266168
5.4,8.9,2.25,-262.573412742201
2.0,8.9,1.24,-218.16627993171545
3.7,9.2,2.72,-278.2295949471892
4.9,8.9,1.24,-221.70148549790426
10.6,8.7,2.53,-307.80217027558103
7.8,8.9,1.24,-226.71731116950664
10.7,8.9,1.24,-233.36966208073986
14.0,8.7,2.53,-336.5982572810785
4.0,9.0,1.24,-223.16566807419443
6.6,9.2,2.72,-301.0000955468216
6.9,9.0,1.24,-227.70251947229286
9.8,9.0,1.24,-233.2042484092226
8.3,8.9,2.25,-282.5876362683869
3.9,8.8,2.53,-259.53913566827305
9.5,9.2,2.72,-322.3439049445349
12.4,9.2,2.72,-344.5717581061828
11.2,8.9,2.25,-303.87391824728115
2.3,9.3,2.72,-271.3814583006444
4.5,9.0,2.25,-260.2365919105366
7.4,9.0,2.25,-279.5115238930753
2.8,9.3,2.72,-275.09918107233113
6.8,8.8,2.53,-281.2655756729756
10.3,9.0,2.25,-300.7345997744305
5.7,9.3,2.72,-297.13596993389916
13.2,9.0,2.25,-321.95206994456754
13.7,9.0,2.25,-327.6465443827185
9.7,8.8,2.53,-303.4961549084352
8.6,9.3,2.72,-319.61061784571535
3.6,9.1,2.25,-258.15847977091477
11.5,9.3,2.72,-340.13849972263
6.5,9.1,2.25,-276.49910296880074
4.8,9.4,2.72,-293.4360955933967
9.4,9.1,2.25,-296.79791518971047
12.3,9.1,2.25,-318.5806367405355
7.7,9.4,2.72,-315.63165615285163
2.7,9.2,2.25,-256.17818885066663
12.7,9.0,1.24,-240.82907763708243
12.6,8.8,2.53,-326.4827566081469
13.1,8.8,2.53,-330.04349121963776
10.6,9.4,2.72,-337.0645781024021
3.0,8.9,2.53,-256.66706022159735
5.9,8.9,2.53,-277.64897681092407
8.8,8.9,2.53,-299.7081419455496
3.1,9.1,1.24,-224.55567895987593
6.0,9.1,1.24,-228.8020809736845
8.9,9.1,1.24,-233.96311691890685
11.7,8.9,2.53,-321.61422051463046
13.5,9.4,2.72,-361.2262450931672
3.9,9.5,2.72,-289.6973966138713
6.8,9.5,2.72,-311.8926564527917
5.6,9.2,2.25,-273.62755524893686
9.7,9.5,2.72,-332.4246459034109
2.1,9.0,2.53,-254.5207651376358
5.0,9.0,2.53,-274.3047064663353
12.6,9.5,2.72,-353.69090089670306
11.8,9.1,1.24,-240.56592299434496
2.5,9.6,2.72,-282.7774859118308
8.5,9.2,2.25,-293.227409668049
5.9,9.6,2.72,-308.3930467009763
8.8,9.6,2.72,-329.9179517751073
11.7,9.6,2.72,-350.8380151118414
11.4,9.2,2.25,-314.45043727950616
5.0,9.7,2.72,-304.7156105832971
4.7,9.3,2.25,-270.91515859044455
7.9,9.7,2.72,-326.10810728231104
2.2,9.2,1.24,-226.08835874762562
7.6,9.3,2.25,-290.37326589693635
10.8,9.7,2.72,-346.5104171407526
10.5,9.3,2.25,-311.21695306547616
13.4,9.3,2.25,-335.29597812512895
7.9,9.0,2.53,-296.1826126246437
13.7,9.7,2.72,-369.7074665737453
3.6,9.8,2.72,-297.54794559676264
5.1,9.2,1.24,-229.79045003008147
7.0,9.8,2.72,-322.5830736252293
8.0,9.2,1.24,-235.04035518117325
10.9,9.2,1.24,-241.0432683066574
13.8,9.2,1.24,-249.62566560487625
4.2,9.3,1.24,-230.99689748031403
3.8,9.4,2.25,-268.68413010324207
10.8,9.0,2.53,-318.2969321450367
9.9,9.8,2.72,-343.570692595941
4.1,9.1,2.53,-270.8953714993602
7.1,9.3,1.24,-235.88837527711902
6.7,9.4,2.25,-287.39220392107694
7.0,9.1,2.53,-292.6302114076743
9.9,9.1,2.53,-314.0891700513784
12.8,9.1,2.53,-336.09037494958295
9.6,9.4,2.25,-307.6125171785557
12.5,9.4,2.25,-328.2904569285462
12.8,9.8,2.72,-362.6048249294086
10.0,9.3,1.24,-241.76111305650153
3.2,9.2,2.53,-267.9523072282468
12.9,9.3,1.24,-248.69368164688814
3.3,9.4,1.24,-232.29633479395437
6.2,9.4,1.24,-236.83354116306361
6.1,9.2,2.53,-289.1336175990298
9.0,9.2,2.53,-310.2246240530055
2.7,9.9,2.72,-294.5816252041187
2.4,9.5,2.25,-263.9982538036711
5.8,9.5,2.25,-284.68319923754314
6.1,9.9,2.72,-319.43086964526333
8.7,9.5,2.25,-303.6786741923568
11.9,9.2,2.53,-332.9016435561253
5.2,9.3,2.53,-285.46441875798575
11.6,9.5,2.25,-325.2028845876185
4.9,9.6,2.25,-281.86961745403767
8.1,9.3,2.53,-307.07114658911195
9.0,9.9,2.72,-338.9385842990648
9.1,9.4,1.24,-243.59371686328652
11.9,9.9,2.72,-359.8938301225586
4.7,10.0,2.72,-312.0734576705494
11.0,9.3,2.53,-328.3955711126589
7.8,9.6,2.25,-301.0982938231
10.7,9.6,2.25,-321.08937884508265
13.9,9.3,2.53,-351.82115571420286
12.0,9.4,1.24,-250.04030774840322
13.6,9.6,2.25,-344.02445315404805
4.3,9.4,2.53,-282.21386076177157
5.2,10.0,2.72,-315.91894551345115
5.3,9.5,1.24,-237.82106576711868
3.5,9.7,2.25,-276.4698385516702
8.2,9.5,1.24,-243.3949983748555
8.1,10.0,2.72,-336.84525556832205
11.0,10.0,2.72,-355.80292689226076
13.9,10.0,2.72,-378.1617948154972
3.8,10.1,2.72,-308.6895383488986
7.2,9.4,2.53,-303.49917402233984
10.1,9.4,2.53,-325.12166724378216
4.0,9.7,2.25,-279.4034867718984
13.0,9.4,2.53,-345.4292860753592
6.9,9.7,2.25,-298.01256683964743
2.9,9.5,2.53,-276.0836673527514
11.1,9.5,1.24,-249.63799696821718
7.2,10.1,2.72,-333.08817206692675
14.0,9.5,1.24,-257.4731668800249
9.8,9.7,2.25,-317.87470437270485
3.4,9.5,2.53,-279.2867551192623
4.4,9.6,1.24,-239.24966978291985
10.1,10.1,2.72,-352.9309746859269
12.7,9.7,2.25,-337.59504164144874
2.6,9.8,2.25,-274.3197834935838
6.3,9.5,2.53,-300.2168168369508
9.2,9.5,2.53,-320.5700069507135
13.0,10.1,2.72,-371.51804551121984
12.1,9.5,2.53,-342.2437111080012
6.0,9.8,2.25,-295.2007000665171
7.3,9.6,1.24,-244.18703294744307
2.9,10.2,2.72,-305.7482716366486
8.9,9.8,2.25,-314.05265281232477
11.8,9.8,2.25,-334.70619492432184
5.1,9.9,2.25,-292.41946114760873
6.3,10.2,2.72,-330.12531457843056
9.2,10.2,2.72,-349.6137645591353
12.1,10.2,2.72,-369.0128674688084
2.0,9.6,2.53,-273.37865069005755
5.4,9.6,2.53,-296.80822961900367
8.0,9.9,2.25,-311.3304078540094
8.3,9.6,2.53,-318.1143382101171
10.9,9.9,2.25,-330.85879076476783
10.2,9.6,1.24,-250.36880683368716
13.1,9.6,1.24,-257.3896079920059
3.0,9.7,1.24,-239.72979953122473
13.8,9.9,2.25,-352.5656011476856
11.2,9.6,2.53,-338.1650053892504
6.4,9.7,1.24,-244.9560928470977
3.7,10.0,2.25,-287.0632726486111
9.3,9.7,1.24,-251.10621095699952
7.1,10.0,2.25,-308.39742708658355
2.0,10.3,2.72,-302.6757243797163
4.5,9.7,2.53,-293.55884883599737
7.4,9.7,2.53,-314.220526940648
10.0,10.0,2.25,-327.860354926828
10.3,9.7,2.53,-334.94514170399225
12.2,9.7,1.24,-258.6763057140239
4.9,10.3,2.72,-323.03531834286906
2.1,9.8,1.24,-241.08948453845971
5.5,9.8,1.24,-245.99569498008498
