freq,mag,phase
6.0,0.9999980563820433,-119.58952341272794
6.008,1.0,-119.9439673904587
6.016,1.0,-120.29794113129688
6.024,1.0,-120.65144668102499
6.032,0.9999999999999999,-121.00448609814563
6.04,0.9999999999999998,-121.35706145365756
6.048,0.9999999999999999,-121.70917483083429
6.056,1.0,-122.06082832500506
6.064,1.0,-122.41202404333816
6.072,0.9999999999999999,-122.76276410462688
6.08,0.9999999999999999,-123.11305063907758
6.088,1.0,-123.46288578810058
6.096,0.9999999999999999,-123.81227170410293
6.104,1.0,-124.16121055028404
6.112,1.0000000000000002,-124.5097045004335
6.12,1.0,-124.85775573873127
6.128,1.0,-125.2053664595504
6.136,0.9999999999999999,-125.55253886726186
6.144,0.9999999999999999,-125.89927517604191
6.152,0.9999999999999999,-126.24557760968196
6.16,1.0,-126.59144840140041
6.168,1.0,-126.93688979365724
6.176,1.0,-127.28190403797049
6.184,1.0,-127.62649339473552
6.192,1.0,-127.97066013304608
6.2,1.0,-128.31440653051826
6.208,0.9999999999999999,-128.65773487311614
6.216,1.0,-129.00064745498005
6.224,1.0,-129.34314657825712
6.232,1.0,-129.68523455293388
6.24,1.0,-130.0269136966712
6.248,1.0,-130.36818633464142
6.256,1.0,-130.70905479936798
6.264,0.9999999999999998,-131.04952143056664
6.272,0.9999999999999999,-131.38958857498943
6.28,1.0,-131.72925858627067
6.288,0.9999999999999999,-132.06853382477485
6.296,1.0,-132.40741665744713
6.304,1.0,-132.74590945766553
6.312,1.0,-133.0840146050955
6.32,1.0,-133.42173448554652
6.328,1.0,-133.75907149083085
6.336,1.0,-134.0960280186242
6.344,0.9999999999999999,-134.43260647232864
6.352,1.0,-134.76880926093747
6.36,1.0,-135.1046387989021
6.368,0.9999999999999999,-135.44009750600094
6.376,0.9999999999999999,-135.77518780721044
6.384,0.9999999999999999,-136.109912132578
6.392,1.0,-136.4442729170967
6.4,1.0,-136.7782726005822
6.408,1.0,-137.11191362755167
6.416,1.0,-137.44519844710433
6.424,1.0,-137.77812951280401
6.432,0.9999999999999999,-138.11070928256387
6.44,1.0,-138.4429402185325
6.448,1.0,-138.77482478698238
6.456,1.0,-139.10636545819983
6.464,1.0,-139.43756470637697
6.472,1.0,-139.76842500950536
6.48,1.0,-140.0989488492716
6.4879999999999995,1.0,-140.42913871095453
6.496,1.0,-140.75899708332443
6.504,1.0,-141.08852645854347
6.5120000000000005,1.0,-141.41772933206883
6.52,0.9999999999999999,-141.74660820255616
6.5280000000000005,1.0,-142.07516557176632
6.536,1.0,-142.40340394447225
6.5440000000000005,1.0,-142.73132582836888
6.552,0.9999999999999999,-143.05893373398357
6.5600000000000005,1.0,-143.38623017458903
6.568,0.9999999999999999,-143.7132176661172
6.5760000000000005,1.0,-144.03989872707524
6.584,1.0000000000000002,-144.36627587846263
6.592,1.0,-144.69235164369056
6.6,1.0,-145.0181285485017
6.608,1.0,-145.34360912089284
6.616,1.0000000000000002,-145.6687958910381
6.624,1.0,-145.9936913912139
6.632,0.9999999999999999,-146.3182981557256
6.64,1.0,-146.64261872083551
6.648,1.0,-146.9666556246921
6.656,1.0,-147.29041140726102
6.664,0.9999999999999999,-147.61388861025742
6.672,1.0,-147.9370897770794
6.68,1.0,-148.26001745274343
6.688,1.0,-148.5826741838204
6.696,1.0,-148.90506251837374
6.704,0.9999987670886235,-149.2271850058984
6.712,0.9999973644892306,-149.5490441972614
6.72,0.99999597428738,-149.87064264464343
6.728,0.9999945971779628,-150.1919829014822
6.736,0.9999932338305828,-150.51306752241652
6.744,0.9999918848899748,-150.83389906323214
6.752,0.9999905509764183,-151.15448008080836
6.76,0.9999892326861469,-151.47481313306633
6.768,0.9999879305917543,-151.79490077891828
6.776,0.9999866452425957,-152.11474557821805
6.784,0.999985377165186,-152.43435009171264
6.792,0.9999841268635942,-152.7537168809954
6.8,0.9999828948198327,-153.07284850845969
6.808,0.9999816814942448,-153.3917475372543
6.816,0.9999804873258855,-153.71041653123962
6.824,0.9999793127329013,-154.0288580549451
6.832,0.9999781581129047,-154.34707467352771
6.84,0.9999770238433441,-154.66506895273162
6.848,0.9999759102818723,-154.98284345884866
6.856,0.9999748177667085,-155.3004007586803
6.864,0.9999737466169989,-155.61774341950016
6.872,0.999972697133171,-155.93487400901785
6.88,0.9999716695972869,-156.25179509534388
6.888,0.9999706642733909,-156.56850924695536
6.896,0.9999696814078538,-156.88501903266257
6.904,0.9999687212297141,-157.20132702157707
6.912,0.9999677839510148,-157.51743578308012
6.92,0.9999668697671378,-157.8333478867924
6.928,0.9999659788571317,-158.1490659025446
6.936,0.9999651113840402,-158.46459240034878
6.944,0.999964267495223,-158.7799299503709
6.952,0.9999634473226761,-159.09508112290396
6.96,0.9999626509833465,-159.4100484883422
6.968,0.9999618785794439,-159.7248346171561
6.976,0.99996113019875,-160.03944207986822
6.984,0.9999604059149225,-160.35387344702986
6.992,0.9999597057877965,-160.66813128919858
7.0,0.9999590298636836,-160.98221817691646
7.008,0.9999583781756644,-161.29613668068933
7.016,0.9999577507438816,-161.60988937096656
7.024,0.9999571475758273,-161.92347881812174
7.032,0.9999565686666255,-162.2369075924341
7.04,0.9999560139993154,-162.5501782640707
7.048,0.9999554835451281,-162.86329340306924
7.056,0.9999549772637611,-163.17625557932183
7.064,0.9999544951036493,-163.4890673625592
7.072,0.9999540370022323,-163.80173132233568
7.08,0.9999536028862209,-164.11425002801505
7.088,0.9999531926718559,-164.42662604875682
7.096,0.9999528062651688,-164.73886195350318
7.104,0.9999524435622346,-165.05096031096696
7.112,0.9999521044494263,-165.36292368961966
7.12,0.999951788803661,-165.67475465768052
7.128,0.9999514964926483,-165.9864557831061
7.136,0.9999512273751303,-166.29802963358026
7.144,0.9999509813011241,-166.60947877650528
7.152,0.9999507581121564,-166.9208057789928
7.16,0.9999505576414972,-167.2320132078558
7.168,0.9999503797143923,-167.5431036296013
7.176,0.9999502241482887,-167.85407961042296
